Perfect Run Rank,Number,Name,Speed,Speed Rank,Run,Split 1,Split 2,Split 3,Split 4,Split 5,Split 1 Rank,Split 2 Rank,Split 3 Rank,Split 4 Rank,Split 5 Rank,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 1 Rank,Sector 2 Rank,Sector 3 Rank,Sector 4 Rank,Sector 5 Rank,Cumulative From Split 1,Cumulative From Split 2,Cumulative From Split 3,Cumulative From Split 4,Cumulative From Split 1 Rank,Cumulative From Split 2 Rank,Cumulative From Split 3 Rank,Cumulative From Split 4 Rank
1,17,WILLIAMS Jordan * (GBR),40.493,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,51,DAPRELA Thibaut (FRA),39.27,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,40,WAYMAN Luke * (NZL),38.785,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,HART Danny (GBR),39.134,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,107,CRUZ Lucas (CAN),39.044,29,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,46,CHAPELET Simon (FRA),39.2,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,21,HARTENSTERN Max (GER),38.77,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,18,BREEDEN Joe (GBR),38.476,44,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,104,PARKER Drake * (USA),37.009,58,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,89,MEEK Toby * (NZL),36.892,60,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,80,NEITZKE Matheus Braian (BRA),34.878,65,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,69,DICKSON Jacob (IRL),34.845,66,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,70,LANER Jan (ITA),37.702,53,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,30,PALAZZARI Davide (ITA),34.44,67,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,24,RUDE JR Richard (USA),38.603,39,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,47,MACDERMID James * (NZL),34.324,68,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,VERGIER Loris (FRA),40.046,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,BRUNI Loic (FRA),39.847,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,PINKERTON Ryan * (USA),47.939,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,79,THURLOW Luca * (GBR),28.305,70,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,94,ERVIN Tyler (USA),37.761,52,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,34,REVELLI Loris (ITA),39.504,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8,DUNNE Ronan (IRL),48.583,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,77,MEIER-SMITH Remy * (AUS),37.767,51,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10,SHAW Luca (USA),38.586,41,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,100,O CALLAGHAN Oisin * (IRL),39.205,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,93,GRIFFITH Ryan * (CAN),38.19,46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,44,HAUSER Christian * (ITA),24.072,76,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,90,LEHMANN Lino (SUI),37.384,56,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,25,MAES Martn (BEL),38.345,45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,68,KIRK Rory * (RSA),23.321,78,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,56,SLOAN Carter * (AUS),5.531,92,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,45,SMESTAD Simen (NOR),25.385,75,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,92,GARCIA AYORA Ignacio * (ESP),38.6,40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,83,TURBA Albertas (LTU),18.915,84,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,62,GARCIN Johan (FRA),37.924,48,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,19,PIERRON Antoine (FRA),39.928,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,86,LEVESQUE Dylan (FRA),38.609,38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,27,MEIER-SMITH Luke (AUS),40.177,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,106,PERRAUDIN Marius (SUI),36.966,59,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,74,SCHNÖLLER Kilian (AUT),23.819,77,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,52,MAPLES Dylan * (USA),39.465,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,26,HATTON Charlie (GBR),39.383,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,61,VIEIRA Douglas (BRA),38.507,42,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,11,WILSON Reece (GBR),16.963,86,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,23,GREENLAND Laurie (GBR),39.064,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,99,ILES Finn (CAN),39.594,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,102,CONROY Sam * (GBR),35.065,64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,98,DAVIS Braedyn * (USA),35.594,63,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,84,LAMARIS Marco * (GER),37.797,50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,65,KERR Henry (IRL),37.241,57,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,28,ESTAQUE Thomas (FRA),23.286,79,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,6,GOLDSTONE Jackson * (CAN),40.545,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
