rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
1,,22,DUNNE Ronan *,MONDRAKER FACTORY RACING,10017006104,IRL,2002,59.586,3,2:55.766,+0.000,250,0:38.069,1,00:38.069000,1:24.832,1,00:46.763000,1:48.267,2,00:23.435000,2:31.992,1,00:43.725000,1,2,4,7,00:23.774000,3
2,P,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,59.875,2,2:55.830,+0.064,210,0:38.101,3,00:38.101000,1:25.838,5,00:47.737000,1:49.179,3,00:23.341000,2:32.449,2,00:43.270000,3,9,3,3,00:23.381000,1
3,P,3,VERGIER Loris,TREK FACTORY RACING GRAVITY,10008723112,FRA,1996,57.256,17,2:56.963,+1.197,180,0:38.561,5,00:38.561000,1:26.285,9,00:47.724000,1:50.163,10,00:23.878000,2:33.434,4,00:43.271000,5,8,8,4,00:23.529000,2
24,PIERRON,PIERRON,Amaury,N/A,10008827283,FRA,1996,58.497,8,2:57.596,+1.830,140,0:39.340,16,00:39.340000,1:26.777,14,00:47.437000,1:49.969,9,00:23.192000,2:33.643,5,00:43.674000,12,4,2,6,00:23.953000,5
6,P,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,57.987,14,2:57.643,+1.877,125,0:38.294,4,00:38.294000,1:26.552,11,00:48.258000,1:50.746,13,00:24.194000,2:33.724,6,00:42.978000,4,12,12,1,00:23.919000,4
5,KOLB,KOLB,Andreas,N/A,10009187092,AUT,1996,59.097,5,2:58.206,+2.440,95,0:38.767,9,00:38.767000,1:25.813,4,00:47.046000,1:49.477,4,00:23.664000,2:34.024,9,00:44.547000,9,3,6,12,00:24.182000,8
9,,64,SUAREZ ALONSO Angel,FRAMEWORKS RACING,10008831529,ESP,1995,58.576,7,2:58.265,+2.499,80,0:39.167,13,00:39.167000,1:26.686,13,00:47.519000,1:50.560,12,00:23.874000,2:33.820,7,00:43.260000,11,7,7,2,00:24.445000,11
10,,42,O CALLAGHAN Oisin *,YT MOB,10017486353,IRL,2003,57.143,18,2:58.532,+2.766,75,0:38.091,2,00:38.091000,1:25.599,3,00:47.508000,1:49.896,8,00:24.297000,2:34.188,10,00:44.292000,2,5,13,9,00:24.344000,9
4,ILES,ILES,Finn,N/A,10090907774,CAN,1999,58.065,12,2:58.563,+2.797,68,0:38.694,7,00:38.694000,1:26.212,8,00:47.518000,1:49.787,7,00:23.575000,2:34.418,11,00:44.631000,7,6,5,15,00:24.145000,7
13,P,8,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,59.545,4,2:59.515,+3.749,65,0:38.906,11,00:38.906000,1:27.167,15,00:48.261000,1:51.300,16,00:24.133000,2:34.842,13,00:43.542000,10,13,10,5,00:24.673000,14
6,KERR,KERR,Bernard,N/A,10006413094,GBR,1991,58.457,9,3:00.466,+4.700,60,0:38.696,8,00:38.696000,1:26.681,12,00:47.985000,1:51.048,14,00:24.367000,2:35.380,15,00:44.332000,8,11,14,11,00:25.086000,17
80,JEWETT,JEWETT,Jakob *,N/A,10061612663,CAN,2003,57.638,15,3:02.058,+6.292,56,0:39.855,26,00:39.855000,1:28.543,21,00:48.688000,1:53.006,22,00:24.463000,2:38.074,22,00:45.068000,20,16,16,17,00:23.984000,6
48,HARTENSTERN,HARTENSTERN,Max,N/A,10011213584,GER,1999,58.026,13,3:02.516,+6.750,52,0:39.607,20,00:39.607000,1:28.736,25,00:49.129000,1:53.152,24,00:24.416000,2:38.109,23,00:44.957000,15,22,15,16,00:24.407000,10
20,,62,LEVESQUE Dylan,SCOTT DOWNHILL FACTORY,10008831731,FRA,1996,53.169,27,3:03.160,+7.394,50,0:39.507,19,00:39.507000,1:28.560,22,00:49.053000,1:53.663,28,00:25.103000,2:38.245,24,00:44.582000,14,21,22,13,00:24.915000,15
22,,32,KUHN Bodhi *,TREK FACTORY RACING GRAVITY,10080855241,CAN,2005,56.545,19,3:03.763,+7.997,46,0:39.652,21,00:39.652000,1:28.661,24,00:49.009000,1:53.212,25,00:24.551000,2:38.394,25,00:45.182000,16,20,18,19,00:25.369000,19
23,,28,MAPLES Dylan *,COMMENCAL/MUC-OFF BY RIDING,10114296696,USA,2003,53.899,25,3:04.493,+8.727,44,0:40.253,31,00:40.253000,1:28.807,27,00:48.554000,1:53.405,27,00:24.598000,2:37.990,19,00:44.585000,24,15,19,14,00:26.503000,24
24,,50,HATTON Charlie,CONTINENTAL ATHERTON,10009897014,GBR,1998,55.527,22,3:04.844,+9.078,42,0:41.251,33,00:41.251000,1:30.080,32,00:48.829000,1:54.891,30,00:24.811000,2:39.212,26,00:44.321000,25,18,21,10,00:25.632000,22
25,,46,GREENLAND Laurie,SANTA CRUZ SYNDICATE,10009404738,GBR,1997,56.323,20,3:04.921,+9.155,40,0:39.815,25,00:39.815000,1:28.773,26,00:48.958000,1:53.399,26,00:24.626000,2:39.345,27,00:45.946000,19,19,20,23,00:25.576000,21
26,,41,DOOLEY Austin *,COMMENCAL / SCHWALBE,10087908151,USA,2002,57.294,16,3:04.967,+9.201,38,0:39.429,17,00:39.429000,1:28.907,28,00:49.478000,1:54.098,29,00:25.191000,2:39.934,28,00:45.836000,13,23,23,21,00:25.033000,16
27,,40,MEIER-SMITH Luke *,GIANT FACTORY OFF-ROAD TEAM - DH,10049212326,AUS,2002,58.143,11,3:05.329,+9.563,36,0:40.103,28,00:40.103000,1:29.589,31,00:49.486000,1:55.015,31,00:25.426000,2:40.799,29,00:45.784000,22,24,25,20,00:24.530000,12
28,,179,SLACK Dan *,POLE FACTORY RACING,10088103464,GBR,2002,53.432,26,3:06.692,+10.926,34,0:39.973,27,00:39.973000,1:29.502,30,00:49.529000,1:55.039,32,00:25.537000,2:41.170,30,00:46.131000,21,25,26,24,00:25.522000,20
29,,72,DAVIS Oliver *,SANTA CRUZ SYNDICATE,10110838143,AUS,2004,56.104,21,3:09.395,+13.629,32,0:39.675,24,00:39.675000,1:27.603,17,00:47.928000,1:51.781,17,00:24.178000,2:37.687,18,00:45.906000,18,10,11,22,00:31.708000,25
30,,33,PONTVIANNE Nathan *,GOODMAN SANTACRUZ,10057982944,FRA,2005,54.477,24,3:12.925,+17.159,30,0:39.671,23,00:39.671000,1:28.405,20,00:48.734000,1:52.359,18,00:23.954000,2:47.145,31,00:54.786000,17,17,9,25,00:25.780000,23
31,P,9,NORTON Dakotah,MONDRAKER FACTORY RACING,10010038167,USA,1992,54.962,23,3:14.262,+18.496,30,0:49.753,34,00:49.753000,1:40.373,33,00:50.620000,2:05.654,33,00:25.281000,2:49.677,32,00:44.023000,26,26,24,8,00:24.585000,13
32,,34,KERR Henry,CANYON CLLCTV PIRELLI,10023914524,IRL,2000,58.182,10,3:15.718,+19.952,30,0:40.114,29,00:40.114000,1:28.397,19,00:48.283000,1:52.907,20,00:24.510000,2:38.070,21,00:45.163000,23,14,17,18,00:37.648000,26
33,,43,STEVENS-MCNAB Lachlan *,UNION - FORGED BY STEEL CITY MEDIA,10110184506,NZL,2004,60.083,1,3:18.424,+22.658,30,0:38.641,6,00:38.641000,1:25.053,2,00:46.412000,1:48.039,1,00:22.986000,2:53.113,33,01:05.074000,6,1,1,26,00:25.311000,18
