rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
9,NORTON,NORTON,Dakotah,N/A,10010038167,USA,1992,54.788,39,2:59.867,+0.000,100,0:39.549,14,00:39.549000,1:27.597,2,00:48.048000,1:51.562,1,00:23.965000,2:35.503,1,00:43.941000,14,1,2,5,00:24.364000,10
2,P,3,VERGIER Loris,TREK FACTORY RACING GRAVITY,10008723112,FRA,1996,56.287,20,2:59.995,+0.128,80,0:39.188,5,00:39.188000,1:27.843,3,00:48.655000,1:52.198,2,00:24.355000,2:36.325,2,00:44.127000,5,6,6,6,00:23.670000,1
3,P,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,57.485,7,3:00.668,+0.801,70,0:38.962,1,00:38.962000,1:28.295,7,00:49.333000,1:52.969,9,00:24.674000,2:36.457,3,00:43.488000,1,24,17,2,00:24.211000,4
4,,22,DUNNE Ronan *,MONDRAKER FACTORY RACING,10017006104,IRL,2002,54.962,36,3:00.920,+1.053,65,0:39.092,4,00:39.092000,1:27.547,1,00:48.455000,1:52.399,3,00:24.852000,2:36.699,4,00:44.300000,4,3,25,7,00:24.221000,6
5,,43,STEVENS-MCNAB Lachlan *,UNION - FORGED BY STEEL CITY MEDIA,10110184506,NZL,2004,59.178,1,3:01.227,+1.360,60,0:40.537,40,00:40.537000,1:29.519,27,00:48.982000,1:53.334,12,00:23.815000,2:37.012,5,00:43.678000,40,17,1,3,00:24.215000,5
6,,24,PIERRON Amaury,COMMENCAL/MUC-OFF BY RIDING,10008827283,FRA,1996,56.917,15,3:01.731,+1.864,58,0:39.658,19,00:39.658000,1:28.389,8,00:48.731000,1:52.808,6,00:24.419000,2:37.299,6,00:44.491000,19,7,10,11,00:24.432000,11
7,P,4,ILES Finn,SPECIALIZED GRAVITY,10090907774,CAN,1999,57.294,10,3:02.315,+2.448,56,0:39.535,13,00:39.535000,1:27.979,4,00:48.444000,1:52.829,7,00:24.850000,2:37.416,7,00:44.587000,13,2,24,14,00:24.899000,25
8,,64,SUAREZ ALONSO Angel,FRAMEWORKS RACING,10008831529,ESP,1995,58.418,4,3:02.426,+2.559,54,0:39.239,6,00:39.239000,1:28.872,15,00:49.633000,1:53.252,10,00:24.380000,2:37.607,8,00:44.355000,6,30,8,9,00:24.819000,22
9,,50,HATTON Charlie,CONTINENTAL ATHERTON,10009897014,GBR,1998,55.959,24,3:02.461,+2.594,52,0:39.583,16,00:39.583000,1:29.224,20,00:49.641000,1:53.966,19,00:24.742000,2:37.850,10,00:43.884000,16,32,19,4,00:24.611000,15
10,,23,WILLIAMS Jordan *,SPECIALIZED GRAVITY,10083936306,GBR,2004,55.527,28,3:02.503,+2.636,50,0:40.515,39,00:40.515000,1:29.270,21,00:48.755000,1:53.642,15,00:24.372000,2:38.147,12,00:44.505000,39,9,7,12,00:24.356000,9
11,,27,THIRION Rémi,GIANT FACTORY OFF-ROAD TEAM - DH,10005415715,FRA,1990,55.032,34,3:02.757,+2.890,49,0:39.086,3,00:39.086000,1:28.040,5,00:48.954000,1:52.617,4,00:24.577000,2:37.647,9,00:45.030000,3,16,15,28,00:25.110000,33
