Number,Name,Run,Speed,Splits,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Sector_Times,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Speed_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
8,BROSNAN Troy,1,53.824,"['0:45.070', '1:43.159', '2:12.260', '4:41.049', '5:21.632']",0:45.070,1:43.159,2:12.260,4:41.049,5:21.632,45.07,103.15899999999999,132.26,281.049,321.632,"[45.07, 58.08899999999999, 29.101, 148.789, 40.58300000000003]",45.07,58.08899999999999,29.101,148.789,40.58300000000003,48,73,63,150,139,48,111,122,322,248,227,276.562,218.473,189.372,40.58300000000003,146,199,254,248
8,BROSNAN Troy,2,57.353,"['0:44.328', '1:39.179', '4:42.540', '5:30.841', '5:58.372']",0:44.328,1:39.179,4:42.540,5:30.841,5:58.372,44.328,99.179,282.54,330.841,358.372,"[44.328, 54.851, 183.36100000000002, 48.30099999999999, 27.531000000000006]",44.328,54.851,183.36100000000002,48.30099999999999,27.531000000000006,19,16,260,208,176,19,23,323,3,18,15,314.044,259.193,75.832,27.531000000000006,185,230,4,18
8,BROSNAN Troy,3,58.137,"['0:43.300', '1:36.057', '2:03.263', '2:50.291', '3:17.247', '3:17.247', '3:17.247', '3:17.247', '3:17.247']",0:43.300,1:36.057,2:03.263,2:50.291,3:17.247,43.3,96.057,123.263,170.291,197.247,"[43.3, 52.757000000000005, 27.206000000000003, 47.02799999999999, 26.956000000000017, 0.0, 0.0, 0.0, 0.0]",43.3,52.757000000000005,27.206000000000003,47.02799999999999,26.956000000000017,4,2,2,1,1,4,1,17,1,8,5,153.947,101.19000000000001,73.98400000000001,26.956000000000017,1,1,1,8
27,THIRION Rémi,1,55.847,"['0:45.759', '2:57.869', '3:25.891', '4:22.702', '10:00.182']",0:45.759,2:57.869,3:25.891,4:22.702,10:00.182,45.759,177.869,205.891,262.702,600.182,"[45.759, 132.11, 28.02199999999999, 56.81100000000001, 337.48]",45.759,132.11,28.02199999999999,56.81100000000001,337.48,78,225,163,135,285,78,258,59,165,322,74,554.423,422.313,394.29100000000005,337.48,288,298,313,322
27,THIRION Rémi,2,53.578,"['0:42.594', '1:35.880', '2:02.818', '2:54.489', '3:21.470']",0:42.594,1:35.880,2:02.818,2:54.489,3:21.470,42.594,95.88,122.818,174.489,201.47,"[42.594, 53.285999999999994, 26.938000000000002, 51.67100000000001, 26.980999999999995]",42.594,53.285999999999994,26.938000000000002,51.67100000000001,26.980999999999995,1,1,1,3,2,1,3,9,57,9,241,158.876,105.59,78.652,26.980999999999995,5,10,18,9
27,THIRION Rémi,3,56.352,"['5:14.050', '13:27.793', '22:26.647', '25:07.504', '27:14.893', '3:21.470', '3:21.470', '3:21.470', '3:21.470']",5:14.050,13:27.793,22:26.647,25:07.504,27:14.893,314.05,807.793,1346.647,1507.504,1634.893,"[314.05, 493.743, 538.8539999999999, 160.85699999999997, 127.38900000000012, -1433.423, 0.0, 0.0, 0.0]",314.05,493.743,538.8539999999999,160.85699999999997,127.38900000000012,360,363,364,362,360,360,357,360,331,282,44,1320.843,827.1,288.2460000000001,127.38900000000012,358,347,297,282
44,ESTAQUE Thomas,1,56.727,"['1:28.823', '2:28.915', '4:03.576', '4:56.639', '5:26.007']",1:28.823,2:28.915,4:03.576,4:56.639,5:26.007,88.82300000000001,148.915,243.576,296.639,326.007,"[88.82300000000001, 60.091999999999985, 94.661, 53.06300000000002, 29.367999999999995]",88.82300000000001,60.091999999999985,94.661,53.06300000000002,29.367999999999995,325,175,207,170,144,325,143,264,104,114,28,237.184,177.092,82.43100000000001,29.367999999999995,117,167,79,114
44,ESTAQUE Thomas,2,57.353,"['0:44.988', '2:42.150', '3:09.829', '3:59.959', '5:56.259']",0:44.988,2:42.150,3:09.829,3:59.959,5:56.259,44.988,162.15,189.829,239.959,356.259,"[44.988, 117.162, 27.679000000000002, 50.129999999999995, 116.30000000000001]",44.988,117.162,27.679000000000002,50.129999999999995,116.30000000000001,40,200,143,113,174,40,231,35,15,280,15,311.271,194.109,166.43,116.30000000000001,182,182,242,280
44,ESTAQUE Thomas,3,56.624,"['0:43.549', '1:37.424', '2:05.355', '2:54.758', '3:21.870', '3:21.870', '3:21.870', '3:21.870', '3:21.870']",0:43.549,1:37.424,2:05.355,2:54.758,3:21.870,43.549,97.424,125.355,174.758,201.87,"[43.549, 53.87500000000001, 27.930999999999997, 49.403000000000006, 27.111999999999995, 0.0, 0.0, 0.0, 0.0]",43.549,53.87500000000001,27.930999999999997,49.403000000000006,27.111999999999995,6,3,8,4,3,6,5,48,9,12,31,158.321,104.446,76.515,27.111999999999995,4,5,5,12
88,VIGE Gaëtan,1,56.59,"['0:45.560', '2:28.704', '3:59.510', '6:19.584', '13:59.880']",0:45.560,2:28.704,3:59.510,6:19.584,13:59.880,45.56,148.704,239.51,379.584,839.88,"[45.56, 103.144, 90.80599999999998, 140.074, 460.296]",45.56,103.144,90.80599999999998,140.074,460.296,67,174,202,250,316,67,202,261,314,335,35,794.3199999999999,691.1759999999999,600.37,460.296,320,329,339,335
88,VIGE Gaëtan,2,56.216,"['0:47.264', '2:43.125', '4:34.225', '5:26.023', '5:54.594']",0:47.264,2:43.125,4:34.225,5:26.023,5:54.594,47.264,163.125,274.225,326.023,354.594,"[47.264, 115.86099999999999, 111.10000000000002, 51.798, 28.57099999999997]",47.264,115.86099999999999,111.10000000000002,51.798,28.57099999999997,152,203,253,203,171,152,229,284,60,70,54,307.33,191.469,80.36899999999997,28.57099999999997,179,180,43,70
88,VIGE Gaëtan,3,56.659,"['0:44.043', '1:38.008', '2:04.326', '2:55.149', '3:21.976', '3:21.976', '3:21.976', '3:21.976', '3:21.976']",0:44.043,1:38.008,2:04.326,2:55.149,3:21.976,44.043,98.00800000000001,124.326,175.149,201.976,"[44.043, 53.96500000000001, 26.317999999999984, 50.82300000000001, 26.826999999999998, 0.0, 0.0, 0.0, 0.0]",44.043,53.96500000000001,26.317999999999984,50.82300000000001,26.826999999999998,15,4,3,5,4,15,6,3,30,6,30,157.933,103.96799999999999,77.65,26.826999999999998,2,2,9,6
78,ATWILL Philip,1,36.167,"['0:45.046', '1:41.885', '2:09.823', '3:37.504', '4:08.663']",0:45.046,1:41.885,2:09.823,3:37.504,4:08.663,45.046,101.88499999999999,129.823,217.504,248.663,"[45.046, 56.83899999999999, 27.938000000000017, 87.68099999999998, 31.15900000000002]",45.046,56.83899999999999,27.938000000000017,87.68099999999998,31.15900000000002,46,45,33,89,81,46,72,49,227,190,347,203.61700000000002,146.77800000000002,118.84,31.15900000000002,87,118,170,190
78,ATWILL Philip,2,55.319,"['1:09.691', '2:44.942', '3:11.429', '4:04.380', '4:32.797']",1:09.691,2:44.942,3:11.429,4:04.380,4:32.797,69.691,164.942,191.429,244.38,272.797,"[69.691, 95.251, 26.486999999999995, 52.95099999999999, 28.41700000000003]",69.691,95.251,26.486999999999995,52.95099999999999,28.41700000000003,309,205,144,116,105,309,190,6,99,61,109,203.10600000000002,107.85500000000002,81.36800000000002,28.41700000000003,86,24,64,61
78,ATWILL Philip,3,56.25,"['0:45.031', '1:38.678', '2:04.784', '2:55.525', '3:23.110', '3:23.110', '3:23.110', '3:23.110', '3:23.110']",0:45.031,1:38.678,2:04.784,2:55.525,3:23.110,45.031,98.678,124.784,175.525,203.11,"[45.031, 53.647, 26.10600000000001, 50.741, 27.585000000000008, 0.0, 0.0, 0.0, 0.0]",45.031,53.647,26.10600000000001,50.741,27.585000000000008,44,9,4,6,5,44,4,1,27,21,51,158.079,104.43200000000002,78.32600000000001,27.585000000000008,3,4,15,21
