rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
1,P,8,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,45.455,5,4:14.909,+0.000,100,0:48.167,6,00:48.167000,2:43.249,3,01:55.082000,3:19.215,2,00:35.966000,3:50.532,1,00:31.317000,6,2,4,14,00:24.377000,21
2,P,4,ILES Finn,SPECIALIZED GRAVITY,10090907774,CAN,1999,45.512,3,4:14.922,+0.013,80,0:47.179,1,00:47.179000,2:42.744,2,01:55.565000,3:19.966,4,00:37.222000,3:50.904,2,00:30.938000,1,5,28,5,00:24.018000,12
3,P,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,43.636,46,4:14.980,+0.071,70,0:48.243,7,00:48.243000,2:42.656,1,01:54.413000,3:19.197,1,00:36.541000,3:51.072,3,00:31.875000,7,1,18,31,00:23.908000,6
4,P,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,44.253,27,4:15.410,+0.501,65,0:47.667,3,00:47.667000,2:43.787,5,01:56.120000,3:19.843,3,00:36.056000,3:51.396,4,00:31.553000,3,7,6,21,00:24.014000,11
5,,57,MEIER-SMITH Luke *,GIANT FACTORY OFF-ROAD TEAM - DH,10049212326,AUS,2002,45.000,10,4:15.867,+0.958,60,0:48.085,4,00:48.085000,2:43.561,4,01:55.476000,3:21.382,8,00:37.821000,3:52.056,7,00:30.674000,4,3,40,3,00:23.811000,3
6,P,7,COULANGES Benoit,DORVAL AM COMMENCAL,10008194359,FRA,1994,45.085,8,4:15.967,+1.058,58,0:48.117,5,00:48.117000,2:45.470,11,01:57.353000,3:21.378,7,00:35.908000,3:51.825,5,00:30.447000,5,17,3,1,00:24.142000,13
7,P,5,KOLB Andreas,CONTINENTAL ATHERTON,10009187092,AUT,1996,45.028,9,4:16.472,+1.563,56,0:48.772,17,00:48.772000,2:44.832,8,01:56.060000,3:20.818,6,00:35.986000,3:51.856,6,00:31.038000,16,6,5,7,00:24.616000,31
8,,35,DOOLEY Austin *,COMMENCAL / SCHWALBE,10087908151,USA,2002,43.956,39,4:16.630,+1.721,54,0:47.210,2,00:47.210000,2:44.172,7,01:56.962000,3:21.416,9,00:37.244000,3:52.658,9,00:31.242000,2,12,29,10,00:23.972000,10
9,P,9,NORTON Dakotah,MONDRAKER FACTORY RACING,10010038167,USA,1992,44.280,26,4:17.453,+2.544,52,0:48.509,9,00:48.509000,2:44.020,6,01:55.511000,3:20.384,5,00:36.364000,3:52.546,8,00:32.162000,9,4,13,42,00:24.907000,41
10,,38,WILLIAMSON Greg,MADISON SARACEN FACTORY TEAM,10006909111,GBR,1992,45.255,6,4:17.477,+2.568,50,0:49.129,30,00:49.129000,2:46.135,13,01:57.006000,3:22.525,13,00:36.390000,3:53.572,13,00:31.047000,28,14,14,8,00:23.905000,5
11,P,3,VERGIER Loris,TREK FACTORY RACING GRAVITY,10008723112,FRA,1996,44.916,12,4:17.505,+2.596,49,0:48.960,23,00:48.960000,2:45.118,10,01:56.158000,3:21.738,11,00:36.620000,3:53.139,10,00:31.401000,21,8,19,16,00:24.366000,20
12,,30,MAPLES Dylan *,COMMENCAL/MUC-OFF BY RIDING,10114296696,USA,2003,44.064,33,4:17.699,+2.790,48,0:49.322,39,00:49.322000,2:46.311,15,01:56.989000,3:22.388,12,00:36.077000,3:53.311,11,00:30.923000,37,13,7,4,00:24.388000,24
13,,23,HART Danny,CONTINENTAL GT RACING,10005470073,GBR,1991,43.983,36,4:17.868,+2.959,47,0:48.619,12,00:48.619000,2:44.972,9,01:56.353000,3:21.491,10,00:36.519000,3:53.406,12,00:31.915000,12,9,17,35,00:24.462000,25
14,,18,WALKER Matt,MADISON SARACEN FACTORY TEAM,10011016756,GBR,1999,44.720,16,4:18.886,+3.977,46,0:48.690,13,00:48.690000,2:46.055,12,01:57.365000,3:22.560,14,00:36.505000,3:54.378,14,00:31.818000,13,18,16,29,00:24.508000,28
