Number,Name,Run,Speed,Splits,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Sector_Times,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Speed_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
9,NORTON Dakotah,1,42.155,"['0:50.825', '4:17.749', '5:30.515', '6:05.107', '6:32.655']",0:50.825,4:17.749,5:30.515,6:05.107,6:32.655,50.825,257.749,330.515,365.107,392.655,"[50.825, 206.92400000000004, 72.76599999999996, 34.59200000000004, 27.547999999999945]",50.825,206.92400000000004,72.76599999999996,34.59200000000004,27.547999999999945,178,162,150,150,151,178,168,219,267,236,239,341.83,134.90599999999995,62.139999999999986,27.547999999999945,154,203,235,236
9,NORTON Dakotah,2,42.883,"['0:48.324', '8:07.568', '8:44.044', '9:16.570', '9:43.678']",0:48.324,8:07.568,8:44.044,9:16.570,9:43.678,48.324,487.568,524.044,556.57,583.678,"[48.324, 439.24399999999997, 36.476, 32.52600000000007, 27.107999999999947]",48.324,439.24399999999997,36.476,32.52600000000007,27.107999999999947,25,281,223,220,216,25,286,39,108,215,174,535.354,96.11000000000001,59.634000000000015,27.107999999999947,217,69,163,215
9,NORTON Dakotah,3,45.141,"['0:48.470', '2:43.520', '3:19.243', '3:51.344', '4:16.630', '4:11.800', '4:11.800', '4:11.800', '4:11.800']",0:48.470,2:43.520,3:19.243,3:51.344,4:16.630,48.47,163.52,199.243,231.344,256.63,"[48.47, 115.05000000000001, 35.722999999999985, 32.101, 25.286, -4.829999999999984, 0.0, 0.0, 0.0]",48.47,115.05000000000001,35.722999999999985,32.101,25.286,31,19,9,9,13,31,34,22,73,64,18,208.16,93.10999999999999,57.387,25.286,22,22,53,64
3,VERGIER Loris,1,41.546,"['0:48.921', '4:28.343', '5:03.149', '5:35.337', '6:02.789']",0:48.921,4:28.343,5:03.149,5:35.337,6:02.789,48.921,268.343,303.149,335.337,362.789,"[48.921, 219.42200000000003, 34.80599999999998, 32.18799999999999, 27.451999999999998]",48.921,219.42200000000003,34.80599999999998,32.18799999999999,27.451999999999998,52,166,137,136,134,52,180,20,78,232,262,313.868,94.44599999999997,59.639999999999986,27.451999999999998,137,45,165,232
3,VERGIER Loris,2,43.426,"['0:51.344', '5:17.027', '5:52.941', '6:25.353', '6:51.687']",0:51.344,5:17.027,5:52.941,6:25.353,6:51.687,51.344,317.027,352.94100000000003,385.353,411.687,"[51.344, 265.683, 35.914000000000044, 32.41199999999998, 26.334000000000003]",51.344,265.683,35.914000000000044,32.41199999999998,26.334000000000003,213,209,165,165,162,213,216,25,99,145,123,360.343,94.66000000000003,58.74599999999998,26.334000000000003,165,49,113,145
3,VERGIER Loris,3,45.369,"['0:48.112', '2:40.238', '3:16.122', '3:48.059', '4:12.576', '4:12.576', '4:12.576', '4:12.576', '4:12.576']",0:48.112,2:40.238,3:16.122,3:48.059,4:12.576,48.112,160.238,196.122,228.059,252.576,"[48.112, 112.126, 35.884000000000015, 31.936999999999983, 24.516999999999996, 0.0, 0.0, 0.0, 0.0]",48.112,112.126,35.884000000000015,31.936999999999983,24.516999999999996,17,5,1,1,3,17,17,24,54,34,12,204.464,92.338,56.45399999999998,24.516999999999996,11,18,30,34
8,BROSNAN Troy,1,44.199,"['0:49.534', '8:39.328', '9:17.501', '9:49.214', '10:16.016']",0:49.534,8:39.328,9:17.501,9:49.214,10:16.016,49.534,519.328,557.501,589.2139999999999,616.016,"[49.534, 469.794, 38.173, 31.712999999999965, 26.80200000000002]",49.534,469.794,38.173,31.712999999999965,26.80200000000002,83,288,228,225,221,83,293,101,40,195,60,566.482,96.68799999999999,58.514999999999986,26.80200000000002,222,85,105,195
8,BROSNAN Troy,2,44.172,"['0:48.468', '5:19.492', '5:56.416', '6:28.268', '6:54.100']",0:48.468,5:19.492,5:56.416,6:28.268,6:54.100,48.468,319.492,356.416,388.26800000000003,414.1,"[48.468, 271.024, 36.92399999999998, 31.852000000000032, 25.831999999999994]",48.468,271.024,36.92399999999998,31.852000000000032,25.831999999999994,30,210,167,168,163,30,218,54,48,105,64,365.632,94.608,57.684000000000026,25.831999999999994,168,48,61,105
8,BROSNAN Troy,3,44.944,"['0:47.911', '2:39.976', '3:16.365', '3:48.218', '4:13.412', '4:13.412', '4:13.412', '4:13.412', '4:13.412']",0:47.911,2:39.976,3:16.365,3:48.218,4:13.412,47.911,159.976,196.365,228.21800000000002,253.412,"[47.911, 112.065, 36.38900000000001, 31.85300000000001, 25.19399999999999, 0.0, 0.0, 0.0, 0.0]",47.911,112.065,36.38900000000001,31.85300000000001,25.19399999999999,11,4,2,3,4,11,16,37,49,58,24,205.501,93.436,57.047,25.19399999999999,13,28,40,58
14,WILLIAMS Jordan *,1,39.13,"['0:49.030', '4:38.854', '5:16.481', '6:01.844', '6:28.546']",0:49.030,4:38.854,5:16.481,6:01.844,6:28.546,49.03,278.854,316.481,361.844,388.546,"[49.03, 229.82399999999998, 37.62700000000001, 45.363, 26.701999999999998]",49.03,229.82399999999998,37.62700000000001,45.363,26.701999999999998,56,181,145,149,148,56,187,81,300,184,309,339.51599999999996,109.69200000000001,72.065,26.701999999999998,151,195,293,184
