rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
9,NORTON,NORTON,Dakotah,N/A,10010038167,USA,1992,57.143,10,3:24.322,+0.000,100,0:32.929,9,00:32.929000,1:25.184,1,00:52.255000,2:19.351,1,00:54.167000,2:53.515,1,00:34.164000,8,1,1,4,00:30.807000,2
2,P,14,PIERRON Amaury,COMMENCAL/MUC-OFF BY RIDING,10008827283,FRA,1996,56.206,20,3:25.717,+1.395,80,0:32.666,5,00:32.666000,1:25.656,3,00:52.990000,2:20.626,3,00:54.970000,2:54.552,2,00:33.926000,4,3,5,2,00:31.165000,4
3,P,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,58.252,2,3:27.037,+2.715,70,0:32.627,3,00:32.627000,1:26.311,9,00:53.684000,2:21.155,6,00:54.844000,2:56.172,6,00:35.017000,2,9,3,13,00:30.865000,3
4,P,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,56.738,12,3:27.508,+3.186,65,0:32.659,4,00:32.659000,1:26.655,12,00:53.996000,2:21.631,9,00:54.976000,2:56.049,3,00:34.418000,3,14,6,6,00:31.459000,10
6,P,16,DUNNE Ronan *,MONDRAKER FACTORY RACING,10017006104,IRL,2002,54.587,51,3:28.047,+3.725,58,0:33.069,13,00:33.069000,1:25.595,2,00:52.526000,2:20.855,4,00:55.260000,2:56.086,4,00:35.231000,10,2,10,19,00:31.961000,35
7,,5,KOLB Andreas,CONTINENTAL ATHERTON,10009187092,AUT,1996,55.771,30,3:28.118,+3.796,56,0:32.580,2,00:32.580000,1:25.691,4,00:53.111000,2:20.616,2,00:54.925000,2:56.110,5,00:35.494000,1,5,4,24,00:32.008000,36
9,P,4,ILES Finn,SPECIALIZED GRAVITY,10090907774,CAN,1999,56.118,23,3:28.617,+4.295,52,0:33.132,14,00:33.132000,1:26.236,7,00:53.104000,2:21.570,8,00:55.334000,2:56.752,7,00:35.182000,11,4,12,18,00:31.865000,28
10,,25,STEVENS-MCNAB Lachlan *,UNION - FORGED BY STEEL CITY MEDIA,10110184506,NZL,2004,58.018,3,3:28.782,+4.460,50,0:33.499,30,00:33.499000,1:28.214,29,00:54.715000,2:23.374,18,00:55.160000,2:58.187,13,00:34.813000,26,28,8,11,00:30.595000,1
11,,35,PINKERTON Kenneth Ryan *,MONDRAKER FACTORY RACING,10063826182,USA,2005,55.901,27,3:28.829,+4.507,49,0:33.212,19,00:33.212000,1:26.703,13,00:53.491000,2:22.052,10,00:55.349000,2:57.174,8,00:35.122000,16,8,13,15,00:31.655000,18
12,,33,JEWETT Jakob *,PIVOT FACTORY RACING,10061612663,CAN,2003,57.416,6,3:28.915,+4.593,48,0:33.265,20,00:33.265000,1:26.966,16,00:53.701000,2:22.894,16,00:55.928000,2:57.471,10,00:34.577000,17,10,23,8,00:31.444000,9
14,,34,MEIER-SMITH Remy *,GIANT FACTORY OFF-ROAD TEAM - DH,10049212427,AUS,2004,54.920,45,3:29.457,+5.135,46,0:33.472,28,00:33.472000,1:27.359,19,00:53.887000,2:22.583,15,00:55.224000,2:57.329,9,00:34.746000,24,12,9,9,00:32.128000,39
15,,7,COULANGES Benoit,DORVAL AM COMMENCAL,10008194359,FRA,1994,56.962,11,3:29.515,+5.193,45,0:33.142,16,00:33.142000,1:26.477,10,00:53.335000,2:22.272,12,00:55.795000,2:58.306,15,00:36.034000,13,6,19,36,00:31.209000,5
16,,36,MEIER-SMITH Luke *,GIANT FACTORY OFF-ROAD TEAM - DH,10049212326,AUS,2002,57.416,6,3:29.583,+5.261,44,0:33.190,18,00:33.190000,1:27.102,18,00:53.912000,2:23.267,17,00:56.165000,2:58.173,12,00:34.906000,15,13,27,12,00:31.410000,8
17,,38,DAVIS Oliver *,SANTA CRUZ SYNDICATE,10110838143,AUS,2004,55.300,37,3:30.317,+5.995,43,0:32.925,8,00:32.925000,1:26.755,14,00:53.830000,2:22.493,14,00:55.738000,2:57.878,11,00:35.385000,7,11,17,20,00:32.439000,51
18,,43,CRAIK George Ethan *,SCOTT DOWNHILL FACTORY,10083936912,GBR,2003,55.513,33,3:30.352,+6.030,42,0:33.052,12,00:33.052000,1:26.522,11,00:53.470000,2:22.418,13,00:55.896000,2:58.702,18,00:36.284000,9,7,22,40,00:31.650000,17
19,,41,PONTVIANNE Nathan *,GOODMAN SANTACRUZ,10057982944,FRA,2005,56.471,16,3:30.420,+6.098,41,0:33.571,38,00:33.571000,1:28.722,38,00:55.151000,2:24.237,26,00:55.515000,2:58.233,14,00:33.996000,34,35,16,3,00:32.187000,40
20,,6,KERR Bernard,PIVOT FACTORY RACING,10006413094,GBR,1991,57.279,9,3:30.512,+6.190,40,0:33.508,31,00:33.508000,1:27.589,22,00:54.081000,2:23.438,20,00:55.849000,2:59.208,19,00:35.770000,27,17,20,30,00:31.304000,6
21,,71,PALAZZARI Davide,THE GRAVITY CARTEL - ROGUE RACING,10010022205,ITA,1995,55.172,40,3:30.716,+6.394,39,0:33.560,37,00:33.560000,1:28.069,25,00:54.509000,2:24.371,27,00:56.302000,2:58.639,17,00:34.268000,33,24,30,5,00:32.077000,37
22,,65,ESTAQUE Thomas,COMMENCAL ICSTUDIO,10008848505,FRA,1996,57.924,4,3:30.955,+6.633,38,0:33.886,46,00:33.886000,1:28.515,36,00:54.629000,2:24.601,31,00:56.086000,2:59.396,21,00:34.795000,42,27,25,10,00:31.559000,14
23,,77,ATWILL Philip,PROPAIN POSITIVE,10008059064,GBR,1995,53.532,59,3:31.054,+6.732,37,0:34.038,50,00:34.038000,1:28.346,32,00:54.308000,2:23.848,23,00:55.502000,2:58.308,16,00:34.460000,46,21,15,7,00:32.746000,52
24,,91,PIERCY Jack *,COMMENCAL LES ORRES,10068688714,GBR,2004,55.857,29,3:31.160,+6.838,36,0:33.576,39,00:33.576000,1:29.105,41,00:55.529000,2:24.102,24,00:54.997000,2:59.489,22,00:35.387000,35,43,7,21,00:31.671000,20
25,,45,HARTENSTERN Max,CUBE FACTORY RACING,10011213584,GER,1999,54.545,52,3:31.247,+6.925,35,0:33.415,24,00:33.415000,1:27.785,23,00:54.370000,2:23.563,21,00:55.778000,2:59.715,23,00:36.152000,21,23,18,38,00:31.532000,13
26,,52,INTROZZI Stefano,N/A,10032121027,ITA,2000,54.381,55,3:31.439,+7.117,34,0:33.445,26,00:33.445000,1:28.023,24,00:54.578000,2:24.152,25,00:56.129000,2:59.250,20,00:35.098000,23,26,26,14,00:32.189000,41
27,,51,DOOLEY Austin *,COMMENCAL / SCHWALBE,10087908151,USA,2002,58.584,1,3:31.610,+7.288,33,0:33.426,25,00:33.426000,1:28.207,28,00:54.781000,2:24.440,29,00:56.233000,3:00.143,24,00:35.703000,22,30,29,27,00:31.467000,11
28,,32,KUHN Bodhi *,TREK FACTORY RACING GRAVITY,10080855241,CAN,2005,55.470,35,3:31.745,+7.423,32,0:34.168,54,00:34.168000,1:29.125,42,00:54.957000,2:24.398,28,00:55.273000,3:00.180,25,00:35.782000,50,33,11,31,00:31.565000,15
29,,29,HATTON Charlie,CONTINENTAL ATHERTON,10009897014,GBR,1998,57.462,5,3:31.939,+7.617,31,0:33.511,32,00:33.511000,1:28.394,34,00:54.883000,2:24.460,30,00:56.066000,3:00.210,26,00:35.750000,28,32,24,29,00:31.729000,22
30,,44,MINNAAR Greg,NORCO FACTORY RACING,10002818640,RSA,1981,56.648,15,3:32.303,+7.981,30,0:32.914,7,00:32.914000,1:26.961,15,00:54.047000,2:24.878,32,00:57.917000,3:00.606,27,00:35.728000,6,15,45,28,00:31.697000,21
31,,70,LALY Thibault,GOODMAN SANTACRUZ,10009533464,FRA,1997,57.416,6,3:32.637,+8.315,29,0:33.164,17,00:33.164000,1:28.502,35,00:55.338000,2:25.118,34,00:56.616000,3:00.904,29,00:35.786000,14,38,32,32,00:31.733000,24
32,,105,MCDOWALL Kirk,N/A,10008617119,CAN,1990,55.901,27,3:32.828,+8.506,28,0:33.729,42,00:33.729000,1:29.220,43,00:55.491000,2:25.852,38,00:56.632000,3:00.975,31,00:35.123000,38,42,33,16,00:31.853000,27
