Number,Name,Run,Speed,Splits,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Sector_Times,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Speed_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
14,PIERRON Amaury,1,54.258,"['0:34.679', '13:48.862', '14:21.965']",0:34.679,13:48.862,14:21.965,,,34.679,828.862,861.965,,,"[34.679, 794.183, 33.103000000000065, None, None]",34.679,794.183,33.103000000000065,,,63,380,356,354,317,63,380,1,354,317,26,,,,,317,317,317,317
14,PIERRON Amaury,2,53.019,"['0:33.719', '1:20.822', '2:27.510', '3:03.271', '3:36.878', '3:36.878', '3:36.878', '3:36.878', '3:36.878']",0:33.719,1:20.822,2:27.510,3:03.271,3:36.878,33.719,80.822,147.51,183.271,216.878,"[33.719, 47.103, 66.68799999999999, 35.760999999999996, 33.607, 0.0, 0.0, 0.0, 0.0]",33.719,47.103,66.68799999999999,35.760999999999996,33.607,8,2,2,2,2,8,9,15,15,65,94,183.159,136.05599999999998,69.368,33.607,3,6,14,65
14,PIERRON Amaury,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
4,ILES Finn,1,55.641,"['0:34.232', '3:58.506', '6:24.000']",0:34.232,3:58.506,6:24.000,,,34.232,238.506,384.0,,,"[34.232, 204.274, 145.494, None, None]",34.232,204.274,145.494,,,25,276,205,354,317,25,298,132,354,317,6,,,,,317,317,317,317
4,ILES Finn,2,55.172,"['0:33.652', '2:54.114', '8:11.153', '8:47.230', '9:19.990']",0:33.652,2:54.114,8:11.153,8:47.230,9:19.990,33.652,174.114,491.153,527.23,559.99,"[33.652, 140.462, 317.039, 36.077, 32.75999999999999]",33.652,140.462,317.039,36.077,32.75999999999999,5,237,268,228,213,5,267,311,18,17,12,526.338,385.876,68.83699999999999,32.75999999999999,219,228,11,17
4,ILES Finn,3,52.902,"['0:33.375', '1:19.849', '2:26.267', '3:02.744', '3:37.164', '3:37.164', '3:37.164', '3:37.164', '3:37.164']",0:33.375,1:19.849,2:26.267,3:02.744,3:37.164,33.375,79.849,146.267,182.744,217.164,"[33.375, 46.474000000000004, 66.41799999999999, 36.477000000000004, 34.41999999999999, 0.0, 0.0, 0.0, 0.0]",33.375,46.474000000000004,66.41799999999999,36.477000000000004,34.41999999999999,1,1,1,1,3,1,7,14,20,129,103,183.789,137.315,70.89699999999999,34.41999999999999,4,9,26,129
1,BRUNI Loic,1,51.355,"['0:33.990', '5:20.764', '11:54.830']",0:33.990,5:20.764,11:54.830,,,33.99,320.764,714.83,,,"[33.99, 286.774, 394.06600000000003, None, None]",33.99,286.774,394.06600000000003,,,15,309,332,354,317,15,326,340,354,317,231,,,,,317,317,317,317
1,BRUNI Loic,2,52.478,"['0:33.566', '1:21.410', '2:28.354', '3:06.352', '3:39.349', '3:39.349', '3:39.349', '3:39.349', '3:39.349']",0:33.566,1:21.410,2:28.354,3:06.352,3:39.349,33.566,81.41,148.35399999999998,186.352,219.349,"[33.566, 47.843999999999994, 66.94399999999999, 37.99800000000002, 32.996999999999986, 0.0, 0.0, 0.0, 0.0]",33.566,47.843999999999994,66.94399999999999,37.99800000000002,32.996999999999986,4,5,3,3,4,4,14,16,56,26,134,185.783,137.939,70.995,32.996999999999986,5,10,28,26
1,BRUNI Loic,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
65,ESTAQUE Thomas,1,53.254,"['0:35.411', '3:09.469']",0:35.411,3:09.469,,,,35.411,189.469,,,,"[35.411, 154.058, None, None, None]",35.411,154.058,,,,123,248,380,354,317,123,272,380,354,317,85,,,,,317,317,317,317
65,ESTAQUE Thomas,2,52.98,"['0:34.862', '1:23.416', '6:21.539', '6:59.066', '7:33.158']",0:34.862,1:23.416,6:21.539,6:59.066,7:33.158,34.862,83.416,381.539,419.06600000000003,453.158,"[34.862, 48.553999999999995, 298.123, 37.527000000000044, 34.091999999999985]",34.862,48.553999999999995,298.123,37.527000000000044,34.091999999999985,80,23,203,168,158,80,23,303,42,105,97,418.296,369.742,71.61900000000003,34.091999999999985,162,222,39,105
65,ESTAQUE Thomas,3,53.412,"['0:35.107', '1:25.008', '2:32.441', '3:08.559', '3:41.825', '3:41.825', '3:41.825', '3:41.825', '3:41.825']",0:35.107,1:25.008,2:32.441,3:08.559,3:41.825,35.107,85.008,152.441,188.559,221.825,"[35.107, 49.900999999999996, 67.433, 36.117999999999995, 33.26599999999999, 0.0, 0.0, 0.0, 0.0]",35.107,49.900999999999996,67.433,36.117999999999995,33.26599999999999,101,44,10,5,5,101,50,19,19,35,74,186.718,136.817,69.38399999999999,33.26599999999999,6,8,15,35
91,PIERCY Jack *,1,54.176,"['0:34.817', '1:27.804', '3:02.585', '3:40.016', '4:13.146']",0:34.817,1:27.804,3:02.585,3:40.016,4:13.146,34.817,87.804,182.585,220.016,253.14600000000002,"[34.817, 52.987, 94.781, 37.43099999999998, 33.130000000000024]",34.817,52.987,94.781,37.43099999999998,33.130000000000024,71,98,52,39,40,71,131,80,36,32,29,218.329,165.342,70.561,33.130000000000024,42,49,20,32
91,PIERCY Jack *,2,53.731,"['0:34.258', '1:25.034', '2:31.415', '3:08.712', '3:41.832', '3:41.832', '3:41.832', '3:41.832', '3:41.832']",0:34.258,1:25.034,2:31.415,3:08.712,3:41.832,34.258,85.03399999999999,151.415,188.712,221.832,"[34.258, 50.77599999999999, 66.381, 37.297, 33.120000000000005, 0.0, 0.0, 0.0, 0.0]",34.258,50.77599999999999,66.381,37.297,33.120000000000005,26,45,7,6,6,26,71,13,31,31,49,187.57399999999998,136.798,70.417,33.120000000000005,7,7,19,31
91,PIERCY Jack *,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
8,BROSNAN Troy,1,52.25,"['0:34.371', '3:08.544', '5:28.975', '6:05.711', '6:39.611']",0:34.371,3:08.544,5:28.975,6:05.711,6:39.611,34.371,188.544,328.975,365.711,399.611,"[34.371, 154.173, 140.431, 36.73599999999999, 33.89999999999998]",34.371,154.173,140.431,36.73599999999999,33.89999999999998,33,247,154,121,116,33,273,126,23,83,158,365.24,211.06699999999998,70.63599999999997,33.89999999999998,124,77,23,83
8,BROSNAN Troy,2,54.711,"['0:33.406', '1:22.443', '2:30.541', '3:08.312', '3:41.899', '3:41.899', '3:41.899', '3:41.899', '3:41.899']",0:33.406,1:22.443,2:30.541,3:08.312,3:41.899,33.406,82.443,150.541,188.312,221.899,"[33.406, 49.037, 68.098, 37.771000000000015, 33.58699999999999, 0.0, 0.0, 0.0, 0.0]",33.406,49.037,68.098,37.771000000000015,33.58699999999999,2,10,5,4,7,2,34,23,49,60,18,188.493,139.45600000000002,71.358,33.58699999999999,12,14,36,60
8,BROSNAN Troy,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
22,HART Danny,1,50.491,"['0:34.307', '1:23.145', '2:33.627', '3:14.397', '3:48.747']",0:34.307,1:23.145,2:33.627,3:14.397,3:48.747,34.307,83.145,153.627,194.397,228.747,"[34.307, 48.837999999999994, 70.48200000000001, 40.76999999999998, 34.35000000000002]",34.307,48.837999999999994,70.48200000000001,40.76999999999998,34.35000000000002,29,18,13,18,22,29,28,39,137,125,294,194.44,145.60200000000003,75.12,34.35000000000002,24,29,111,125
22,HART Danny,2,50.633,"['0:33.719', '1:23.718', '3:27.997', '4:08.350', '4:44.109']",0:33.719,1:23.718,3:27.997,4:08.350,4:44.109,33.719,83.718,207.997,248.35,284.109,"[33.719, 49.999, 124.27900000000001, 40.35299999999998, 35.758999999999986]",33.719,49.999,124.27900000000001,40.35299999999998,35.758999999999986,8,25,63,47,50,8,54,99,127,236,276,250.39,200.39099999999996,76.11199999999997,35.758999999999986,51,66,130,236
22,HART Danny,3,53.571,"['0:33.960', '1:22.858', '2:30.112', '3:08.842', '3:42.193', '3:42.193', '3:42.193', '3:42.193', '3:42.193']",0:33.960,1:22.858,2:30.112,3:08.842,3:42.193,33.96,82.858,150.112,188.842,222.19299999999998,"[33.96, 48.898, 67.25399999999999, 38.73000000000002, 33.35099999999997, 0.0, 0.0, 0.0, 0.0]",33.96,48.898,67.25399999999999,38.73000000000002,33.35099999999997,14,16,4,7,8,14,31,17,75,45,58,188.23299999999998,139.33499999999998,72.08099999999999,33.35099999999997,10,12,47,45
45,HARTENSTERN Max,1,52.478,"['0:34.889', '1:24.115', '2:31.584', '3:09.384', '3:42.693']",0:34.889,1:24.115,2:31.584,3:09.384,3:42.693,34.889,84.115,151.584,189.38400000000001,222.69299999999998,"[34.889, 49.22599999999999, 67.46900000000001, 37.80000000000001, 33.30899999999997]",34.889,49.22599999999999,67.46900000000001,37.80000000000001,33.30899999999997,82,27,8,9,9,82,38,20,51,41,134,187.80399999999997,138.57799999999997,71.10899999999998,33.30899999999997,8,11,35,41
45,HARTENSTERN Max,2,54.587,"['0:34.469', '12:33.118', '15:04.092', '25:53.168', '3:42.693', '3:42.693', '3:42.693', '3:42.693']",0:34.469,12:33.118,15:04.092,25:53.168,3:42.693,34.469,753.118,904.092,1553.168,222.69299999999998,"[34.469, 718.649, 150.97399999999993, 649.0759999999999, -1330.475, 0.0, 0.0, 0.0]",34.469,718.649,150.97399999999993,649.0759999999999,-1330.475,41,376,361,347,9,41,377,142,351,2,20,188.224,-530.4250000000001,-681.399,-1330.475,9,2,2,2
45,HARTENSTERN Max,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
5,KOLB Andreas,1,53.973,"['0:34.345', '12:40.010', '23:16.580', '24:30.639', '25:04.063']",0:34.345,12:40.010,23:16.580,24:30.639,25:04.063,34.345,760.01,1396.58,1470.639,1504.063,"[34.345, 725.665, 636.5699999999999, 74.05899999999997, 33.424000000000206]",34.345,725.665,636.5699999999999,74.05899999999997,33.424000000000206,31,377,374,346,312,31,378,372,240,47,40,1469.718,744.0530000000001,107.48300000000017,33.424000000000206,312,297,211,47
5,KOLB Andreas,2,53.492,"['0:34.136', '1:23.330', '2:30.659', '3:09.090', '3:42.759', '3:42.759', '3:42.759', '3:42.759', '3:42.759']",0:34.136,1:23.330,2:30.659,3:09.090,3:42.759,34.136,83.33,150.659,189.09,222.75900000000001,"[34.136, 49.193999999999996, 67.329, 38.43100000000001, 33.66900000000001, 0.0, 0.0, 0.0, 0.0]",34.136,49.193999999999996,67.329,38.43100000000001,33.66900000000001,21,22,6,8,11,21,37,18,68,69,64,188.62300000000002,139.42900000000003,72.10000000000002,33.66900000000001,13,13,48,69
5,KOLB Andreas,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
28,MAPLES Dylan *,1,54.054,"['0:34.852', '1:23.247', '2:33.806', '3:11.111', '3:44.413']",0:34.852,1:23.247,2:33.806,3:11.111,3:44.413,34.852,83.247,153.80599999999998,191.111,224.413,"[34.852, 48.395, 70.55899999999998, 37.30500000000001, 33.30200000000002]",34.852,48.395,70.55899999999998,37.30500000000001,33.30200000000002,78,19,15,12,13,78,20,40,32,40,36,189.561,141.166,70.60700000000003,33.30200000000002,14,18,21,40
28,MAPLES Dylan *,2,53.452,"['0:35.147', '8:54.575']",0:35.147,8:54.575,,,,35.147,534.575,,,,"[35.147, 499.42800000000005, None, None, None]",35.147,499.42800000000005,,,,106,356,380,354,317,106,363,380,354,317,67,,,,,317,317,317,317
28,MAPLES Dylan *,3,53.691,"['0:34.574', '1:22.487', '2:31.900', '3:09.970', '3:43.003', '3:43.003', '3:43.003', '3:43.003', '3:43.003']",0:34.574,1:22.487,2:31.900,3:09.970,3:43.003,34.574,82.487,151.9,189.97,223.003,"[34.574, 47.913, 69.41300000000001, 38.06999999999999, 33.03299999999999, 0.0, 0.0, 0.0, 0.0]",34.574,47.913,69.41300000000001,38.06999999999999,33.03299999999999,53,11,9,10,12,53,15,30,58,28,54,188.42899999999997,140.516,71.10299999999998,33.03299999999999,11,17,33,28
34,MEIER-SMITH Remy *,1,55.385,"['0:35.797', '1:55.856', '4:49.983', '5:29.863', '6:03.450']",0:35.797,1:55.856,4:49.983,5:29.863,6:03.450,35.797,115.856,289.983,329.863,363.45,"[35.797, 80.059, 174.127, 39.879999999999995, 33.58699999999999]",35.797,80.059,174.127,39.879999999999995,33.58699999999999,166,174,121,96,92,166,192,172,115,60,10,327.653,247.594,73.46699999999998,33.58699999999999,93,113,80,60
34,MEIER-SMITH Remy *,2,54.135,"['0:34.572', '1:25.074', '2:34.259', '3:11.757', '3:45.310', '3:45.310', '3:45.310', '3:45.310', '3:45.310']",0:34.572,1:25.074,2:34.259,3:11.757,3:45.310,34.572,85.074,154.25900000000001,191.757,225.31,"[34.572, 50.501999999999995, 69.18500000000002, 37.49799999999999, 33.553, 0.0, 0.0, 0.0, 0.0]",34.572,50.501999999999995,69.18500000000002,37.49799999999999,33.553,52,47,19,13,14,52,66,27,41,58,33,190.738,140.236,71.05099999999999,33.553,15,15,30,58
34,MEIER-SMITH Remy *,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
56,VIDAL Antoine,1,52.632,"['0:35.237', '1:25.250', '2:34.835', '3:14.406', '3:48.313']",0:35.237,1:25.250,2:34.835,3:14.406,3:48.313,35.237,85.25,154.835,194.406,228.313,"[35.237, 50.013, 69.58500000000001, 39.571, 33.90699999999998]",35.237,50.013,69.58500000000001,39.571,33.90699999999998,110,49,23,19,21,110,55,34,101,84,118,193.076,143.063,73.47799999999998,33.90699999999998,22,24,81,84
56,VIDAL Antoine,2,49.281,"['0:34.959', '3:50.867', '5:04.642']",0:34.959,3:50.867,5:04.642,,,34.959,230.867,304.642,,,"[34.959, 195.908, 73.775, None, None]",34.959,195.908,73.775,,,86,275,138,354,317,86,294,59,354,317,346,,,,,317,317,317,317
56,VIDAL Antoine,3,52.863,"['0:34.547', '1:25.362', '2:34.579', '3:12.182', '3:45.682', '3:45.682', '3:45.682', '3:45.682', '3:45.682']",0:34.547,1:25.362,2:34.579,3:12.182,3:45.682,34.547,85.362,154.579,192.182,225.68200000000002,"[34.547, 50.815, 69.21700000000001, 37.60299999999998, 33.50000000000003, 0.0, 0.0, 0.0, 0.0]",34.547,50.815,69.21700000000001,37.60299999999998,33.50000000000003,48,50,22,14,15,48,72,28,45,53,106,191.13500000000002,140.32000000000002,71.10300000000001,33.50000000000003,16,16,34,53
7,COULANGES Benoit,1,53.452,"['0:34.408', '1:21.950', '2:32.737', '3:10.640', '3:46.012']",0:34.408,1:21.950,2:32.737,3:10.640,3:46.012,34.408,81.95,152.737,190.64,226.012,"[34.408, 47.542, 70.78699999999999, 37.90299999999999, 35.372000000000014]",34.408,47.542,70.78699999999999,37.90299999999999,35.372000000000014,35,7,11,11,16,35,12,43,52,219,67,191.60399999999998,144.062,73.275,35.372000000000014,17,25,75,219
7,COULANGES Benoit,2,53.532,"['0:34.296', '11:09.441', '19:54.583', '23:41.946', '24:14.491']",0:34.296,11:09.441,19:54.583,23:41.946,24:14.491,34.296,669.441,1194.583,1421.946,1454.491,"[34.296, 635.145, 525.142, 227.36299999999983, 32.54500000000007]",34.296,635.145,525.142,227.36299999999983,32.54500000000007,28,368,369,345,311,28,371,360,321,14,62,1420.195,785.05,259.9079999999999,32.54500000000007,311,301,287,14
7,COULANGES Benoit,3,53.412,"['0:34.972', '7:22.054', '11:54.263', '15:59.549', '16:33.061', '3:46.012', '3:46.012', '3:46.012', '3:46.012']",0:34.972,7:22.054,11:54.263,15:59.549,16:33.061,34.972,442.054,714.263,959.549,993.061,"[34.972, 407.082, 272.20900000000006, 245.28599999999994, 33.51200000000006, -767.049, 0.0, 0.0, 0.0]",34.972,407.082,272.20900000000006,245.28599999999994,33.51200000000006,88,343,329,320,288,88,353,283,324,56,74,958.089,551.0070000000001,278.798,33.51200000000006,292,271,290,56
63,REVELLI Loris,1,52.364,"['0:34.807', '1:24.620', '3:36.525', '4:14.111', '4:48.226']",0:34.807,1:24.620,3:36.525,4:14.111,4:48.226,34.807,84.62,216.525,254.111,288.226,"[34.807, 49.813, 131.905, 37.585999999999984, 34.11500000000001]",34.807,49.813,131.905,37.585999999999984,34.11500000000001,69,35,70,49,52,69,49,111,44,111,146,253.41899999999998,203.606,71.701,34.11500000000001,53,69,40,111
63,REVELLI Loris,2,52.67,"['0:34.628', '1:25.453', '2:34.264', '3:12.292', '3:46.824', '3:46.824', '3:46.824', '3:46.824', '3:46.824']",0:34.628,1:25.453,2:34.264,3:12.292,3:46.824,34.628,85.453,154.264,192.292,226.824,"[34.628, 50.825, 68.811, 38.02799999999999, 34.53200000000001, 0.0, 0.0, 0.0, 0.0]",34.628,50.825,68.811,38.02799999999999,34.53200000000001,60,52,20,15,17,60,74,25,57,142,116,192.19600000000003,141.371,72.56,34.53200000000001,19,19,57,142
63,REVELLI Loris,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
69,WILLIAMSON Matthew Luke *,1,52.364,"['0:35.680', '3:34.860', '5:45.500', '6:23.421', '6:57.924']",0:35.680,3:34.860,5:45.500,6:23.421,6:57.924,35.68,214.86,345.5,383.421,417.924,"[35.68, 179.18, 130.64, 37.92099999999999, 34.502999999999986]",35.68,179.18,130.64,37.92099999999999,34.502999999999986,152,265,173,139,133,152,285,110,54,139,146,382.24399999999997,203.06399999999996,72.42399999999998,34.502999999999986,139,68,53,139
69,WILLIAMSON Matthew Luke *,2,52.516,"['0:34.845', '1:24.393', '2:34.522', '3:12.884', '3:46.966', '3:46.966', '3:46.966', '3:46.966', '3:46.966']",0:34.845,1:24.393,2:34.522,3:12.884,3:46.966,34.845,84.393,154.522,192.88400000000001,226.966,"[34.845, 49.548, 70.12899999999999, 38.36200000000002, 34.081999999999994, 0.0, 0.0, 0.0, 0.0]",34.845,49.548,70.12899999999999,38.36200000000002,34.081999999999994,77,32,21,16,18,77,46,38,63,103,130,192.121,142.573,72.44400000000002,34.081999999999994,18,22,54,103
