rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
1,,2,VERGIER Loris,COMMENCAL/MUC-OFF BY RIDING,10008723112,FRA,1996,55.684,27,3:02.481,+0.000,50,0:31.355,8,00:31.355000,1:15.480,1,00:44.125000,1:53.417,4,00:37.937000,2:31.300,1,00:37.883000,8,2,32,8,00:31.181000,1
2,,17,WILLIAMS Jordan *,SPECIALIZED GRAVITY,10083936306,GBR,2004,55.300,41,3:03.168,+0.687,40,0:31.871,29,00:31.871000,1:15.738,2,00:43.867000,1:53.430,5,00:37.692000,2:31.594,3,00:38.164000,29,1,23,16,00:31.574000,7
3,,1,PIERRON Amaury,COMMENCAL/MUC-OFF BY RIDING,10008827283,FRA,1996,55.728,25,3:03.254,+0.773,30,0:31.131,3,00:31.131000,1:15.901,4,00:44.770000,1:54.496,19,00:38.595000,2:31.780,4,00:37.284000,3,8,62,1,00:31.474000,4
4,,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,57.007,7,3:03.331,+0.850,25,0:31.482,14,00:31.482000,1:16.711,16,00:45.229000,1:53.311,3,00:36.600000,2:32.008,9,00:38.697000,14,20,2,33,00:31.323000,2
5,,9,COULANGES Benoit,SCOTT DOWNHILL FACTORY,10008194359,FRA,1994,55.771,24,3:03.436,+0.955,22,0:31.341,7,00:31.341000,1:16.537,14,00:45.196000,1:53.901,8,00:37.364000,2:31.992,8,00:38.091000,7,18,11,12,00:31.444000,3
6,,31,HARTENSTERN Max,CUBE FACTORY RACING,10011213584,GER,1999,56.648,9,3:03.528,+1.047,20,0:31.124,2,00:31.124000,1:15.986,5,00:44.862000,1:53.199,1,00:37.213000,2:31.559,2,00:38.360000,2,12,6,26,00:31.969000,22
7,,14,PINKERTON Ryan *,MONDRAKER FACTORY RACING DH,10063826182,USA,2005,56.426,10,3:03.682,+1.201,18,0:31.378,10,00:31.378000,1:16.200,8,00:44.822000,1:53.949,11,00:37.749000,2:31.799,5,00:37.850000,10,11,26,7,00:31.883000,18
8,,3,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,57.416,2,3:03.886,+1.405,17,0:31.402,12,00:31.402000,1:16.172,7,00:44.770000,1:53.602,6,00:37.430000,2:31.935,7,00:38.333000,12,8,13,24,00:31.951000,21
9,,57,CRAIK George Ethan *,SCOTT DOWNHILL FACTORY,10083936912,GBR,2003,55.641,29,3:03.967,+1.486,16,0:31.644,20,00:31.644000,1:16.844,20,00:45.200000,1:54.169,15,00:37.325000,2:32.317,11,00:38.148000,20,19,9,14,00:31.650000,12
10,,23,GREENLAND Laurie,SANTA CRUZ SYNDICATE,10009404738,GBR,1997,55.130,48,3:04.316,+1.835,15,0:31.705,24,00:31.705000,1:16.413,12,00:44.708000,1:53.741,7,00:37.328000,2:31.862,6,00:38.121000,24,7,10,13,00:32.454000,45
11,,46,KIEFER Henri *,CANYON CLLCTV FACTORY TEAM,10080400048,GER,2005,54.711,57,3:04.436,+1.955,14,0:31.489,15,00:31.489000,1:16.724,17,00:45.235000,1:54.168,14,00:37.444000,2:32.399,14,00:38.231000,15,21,14,19,00:32.037000,24
12,,37,PENE Tuhoto-Ariki,MS-RACING,10022183274,NZL,2001,57.098,6,3:04.510,+2.029,13,0:31.494,16,00:31.494000,1:17.463,32,00:45.969000,1:54.032,12,00:36.569000,2:32.068,10,00:38.036000,16,43,1,11,00:32.442000,44
13,,51,DAPRELA Thibaut,ROGUE RACING - SR SUNTOUR,10072798480,FRA,2001,55.728,25,3:04.543,+2.062,12,0:31.805,27,00:31.805000,1:16.235,9,00:44.430000,1:53.925,9,00:37.690000,2:32.913,18,00:38.988000,27,4,22,43,00:31.630000,11
14,,6,GOLDSTONE Jackson *,SANTA CRUZ SYNDICATE,10053812449,CAN,2004,53.691,85,3:04.594,+2.113,11,0:31.386,11,00:31.386000,1:15.790,3,00:44.404000,1:54.079,13,00:38.289000,2:32.351,13,00:38.272000,11,3,46,22,00:32.243000,34
15,,74,ROGGE Antoine,N/A,10078163590,FRA,2002,56.162,12,3:04.694,+2.213,10,0:31.826,28,00:31.826000,1:17.460,31,00:45.634000,1:54.851,24,00:37.391000,2:33.218,25,00:38.367000,28,34,12,28,00:31.476000,5
16,,29,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,55.342,37,3:04.700,+2.219,9,0:31.746,25,00:31.746000,1:17.145,26,00:45.399000,1:54.805,22,00:37.660000,2:33.166,23,00:38.361000,25,26,21,27,00:31.534000,6
17,,27,HATTON Charlie,CONTINENTAL ATHERTON,10009897014,GBR,1998,55.901,20,3:04.852,+2.371,8,0:32.241,41,00:32.241000,1:17.248,27,00:45.007000,1:55.039,25,00:37.791000,2:33.259,26,00:38.220000,41,14,28,17,00:31.593000,9
18,,18,PIERRON Antoine,COMMENCAL SCHWALBE BY LES ORRES,10011102844,FRA,1999,55.342,37,3:04.899,+2.418,7,0:31.878,30,00:31.878000,1:17.125,25,00:45.247000,1:55.503,29,00:38.378000,2:33.060,20,00:37.557000,30,22,52,3,00:31.839000,16
19,,26,STEVENS-MCNAB Lachlan *,TREK FACTORY RACING DH,10110184506,NZL,2004,57.739,1,3:04.990,+2.509,6,0:31.770,26,00:31.770000,1:16.864,21,00:45.094000,1:54.656,20,00:37.792000,2:32.432,15,00:37.776000,26,15,29,5,00:32.558000,50
20,,65,GALE Sam,N/A,10021725253,NZL,2001,56.075,15,3:05.073,+2.592,5,0:32.263,43,00:32.263000,1:17.753,38,00:45.490000,1:55.715,33,00:37.962000,2:33.032,19,00:37.317000,43,31,33,2,00:32.041000,25
21,,36,INTROZZI Stefano,N/A,10032121027,ITA,2000,55.857,22,3:05.176,+2.695,-,0:31.928,33,00:31.928000,1:17.532,33,00:45.604000,1:55.595,31,00:38.063000,2:33.558,29,00:37.963000,33,33,36,10,00:31.618000,10
22,,8,DUNNE Ronan,MONDRAKER FACTORY RACING DH,10017006104,IRL,2002,55.988,18,3:05.231,+2.750,-,0:31.232,4,00:31.232000,1:16.668,15,00:45.436000,1:54.808,23,00:38.140000,2:33.138,22,00:38.330000,4,29,41,23,00:32.093000,29
23,,19,BREEDEN Joe,AXESS INTENSE FACTORY RACING,10011005743,GBR,1999,56.075,15,3:05.472,+2.991,-,0:31.703,23,00:31.703000,1:17.349,29,00:45.646000,1:55.561,30,00:38.212000,2:33.209,24,00:37.648000,23,35,44,4,00:32.263000,37
24,,66,KOLB Andreas,YT MOB,10009187092,AUT,1996,55.342,37,3:05.644,+3.163,-,0:31.577,18,00:31.577000,1:16.123,6,00:44.546000,1:54.234,16,00:38.111000,2:32.586,16,00:38.352000,18,5,40,25,00:33.058000,63
25,,7,GWIN Aaron,GWIN RACING,10006516663,USA,1987,55.513,31,3:05.676,+3.195,-,0:31.420,13,00:31.420000,1:16.795,18,00:45.375000,1:54.357,17,00:37.562000,2:33.286,27,00:38.929000,13,25,16,40,00:32.390000,42
26,,39,DAVIS Oliver *,TREK FACTORY RACING DH,10110838143,AUS,2004,55.046,50,3:05.833,+3.352,-,0:31.019,1,00:31.019000,1:16.277,10,00:45.258000,1:54.365,18,00:38.088000,2:32.615,17,00:38.250000,1,23,38,20,00:33.218000,67
27,,24,ZWAR Oliver,ORBEA / FMD RACING,10008106857,SWE,1995,55.513,31,3:05.943,+3.462,-,0:32.063,35,00:32.063000,1:17.348,28,00:45.285000,1:55.845,34,00:38.497000,2:34.097,31,00:38.252000,35,24,59,21,00:31.846000,17
28,,21,MEIER-SMITH Luke,GIANT FACTORY OFF-ROAD TEAM - DH,10049212326,AUS,2002,56.162,12,3:06.012,+3.531,-,0:32.063,35,00:32.063000,1:17.872,40,00:45.809000,1:55.470,28,00:37.598000,2:34.208,33,00:38.738000,35,39,17,34,00:31.804000,14
29,,15,WALKER Matt,TREK FACTORY RACING DH,10011016756,GBR,1999,55.215,45,3:06.091,+3.610,-,0:31.324,6,00:31.324000,1:17.054,23,00:45.730000,1:55.393,27,00:38.339000,2:33.547,28,00:38.154000,6,38,49,15,00:32.544000,49
30,,43,MAPLES Dylan *,COMMENCAL/MUC-OFF BY RIDING,10114296696,USA,2003,55.684,27,3:06.233,+3.752,-,0:32.816,57,00:32.816000,1:17.814,39,00:44.998000,1:56.248,40,00:38.434000,2:34.183,32,00:37.935000,57,13,56,9,00:32.050000,27
31,,20,CHAPELET Simon,ROGUE RACING - SR SUNTOUR,10071553749,FRA,2002,55.257,43,3:06.321,+3.840,-,0:32.272,44,00:32.272000,1:18.313,43,00:46.041000,1:55.629,32,00:37.316000,2:34.397,34,00:38.768000,44,46,8,36,00:31.924000,20
32,,99,ILES Finn,SPECIALIZED GRAVITY,10090907774,CAN,1999,56.075,15,3:06.323,+3.842,-,0:31.624,19,00:31.624000,1:17.047,22,00:45.423000,1:54.784,21,00:37.737000,2:34.062,30,00:39.278000,19,27,25,52,00:32.261000,36
33,,54,PIERCY Jack *,COMMENCAL SCHWALBE BY LES ORRES,10068688714,GBR,2004,57.188,4,3:06.751,+4.270,-,0:32.778,56,00:32.778000,1:18.708,49,00:45.930000,1:56.195,37,00:37.487000,2:34.864,36,00:38.669000,56,42,15,32,00:31.887000,19
34,,47,CASTELLANOS LIBERAL Daniel *,N/A,10081562028,ESP,2005,53.771,80,3:06.757,+4.276,-,0:31.919,32,00:31.919000,1:17.728,37,00:45.809000,1:56.355,41,00:38.627000,2:34.585,35,00:38.230000,32,39,65,18,00:32.172000,30
35,,44,HAUSER Christian *,TREK FACTORY RACING DH,10093968631,ITA,2006,53.571,86,3:06.921,+4.440,-,0:32.749,55,00:32.749000,1:18.421,45,00:45.672000,1:56.919,46,00:38.498000,2:35.347,39,00:38.428000,55,36,60,29,00:31.574000,7
36,,22,THIRION Rémi,GIANT FACTORY OFF-ROAD TEAM - DH,10005415715,FRA,1990,52.098,98,3:07.256,+4.775,-,0:32.262,42,00:32.262000,1:17.713,36,00:45.451000,1:56.420,43,00:38.707000,2:35.545,42,00:39.125000,42,30,68,47,00:31.711000,13
37,,86,GARCIN Johan,N/A,10056657377,FRA,2002,55.300,41,3:07.258,+4.777,-,0:32.567,52,00:32.567000,1:18.928,52,00:46.361000,1:56.222,39,00:37.294000,2:35.227,38,00:39.005000,52,56,7,44,00:32.031000,23
38,,33,JEWETT Jakob *,GIANT FACTORY OFF-ROAD TEAM - DH,10061612663,CAN,2003,54.463,61,3:07.549,+5.068,-,0:32.041,34,00:32.041000,1:18.021,42,00:45.980000,1:56.804,44,00:38.783000,2:35.366,40,00:38.562000,34,44,72,31,00:32.183000,32
39,,34,PALAZZARI Davide,ROGUE RACING - SR SUNTOUR,10010022205,ITA,1995,54.176,69,3:08.219,+5.738,-,0:31.702,22,00:31.702000,1:16.811,19,00:45.109000,1:55.999,36,00:39.188000,2:35.086,37,00:39.087000,22,17,87,46,00:33.133000,66
40,,25,MAES Martin,ORBEA / FMD RACING,10009453945,BEL,1997,53.812,79,3:08.220,+5.739,-,0:32.215,40,00:32.215000,1:18.378,44,00:46.163000,1:57.043,49,00:38.665000,2:35.975,46,00:38.932000,40,50,66,41,00:32.245000,35
