Number,Name,Run,Time,Time_Rank,Speed,Speed_Rank,Splits,Sector_Times,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
6,GOLDSTONE Jackson * (CAN),1,3:41.976,5,40.545,5,"['0:46.519', '2:37.122', '3:22.334', '8:55.528', '9:37.603', '9:37.603', '9:37.603', '9:37.603', '0:42.659', '1:41.099', '2:26.119', '3:02.521', '3:41.976', '3:41.976', '3:41.976', '3:41.976', '0:44.466', '12:53.994', '13:39.536', '15:05.801', '15:46.741', '15:46.741', '15:46.741', '15:46.741', '3:41.976', '3:41.976', '3:41.976', '3:41.976']","['46.519', '110.603', '45.212', '333.194', '42.075', '0.000', '0.000', '0.000', '-534.944', '58.440', '45.020', '36.402', '39.455', '0.000', '0.000', '0.000', '-177.510', '729.528', '45.542', '86.265', '40.940', '0.000', '0.000', '0.000', '-724.765', '0.000', '0.000', '0.000']",0:46.519,2:37.122,3:22.334,8:55.528,9:37.603,46.519,157.122,202.334,535.528,577.603,43,30,17,57,53,46.519,110.60300000000001,45.21199999999999,333.194,42.07499999999993,43,40,2,92,21,175.457,64.85399999999998,19.641999999999996,-313.552,23,46,66,29
17,WILLIAMS Jordan * (GBR),1,3:42.263,6,40.493,6,"['0:43.998', '1:43.212', '2:28.486', '3:04.851', '3:44.416', '3:44.416', '3:44.416', '3:44.416', '0:43.576', '1:41.688', '2:26.002', '3:02.809', '3:42.263', '3:42.263', '3:42.263', '3:42.263', '3:42.263', '3:42.263', '3:42.263', '3:42.263']","['43.998', '59.214', '45.274', '36.365', '39.565', '0.000', '0.000', '0.000', '-180.840', '58.112', '44.314', '36.807', '39.454', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000']",0:43.998,1:43.212,2:28.486,3:04.851,3:44.416,43.998,103.212,148.486,184.851,224.416,9,5,1,1,1,43.998,59.214000000000006,45.27399999999999,36.36500000000001,39.565,9,4,3,2,1,178.26500000000001,119.051,73.77700000000002,37.412000000000006,24,57,72,74
27,MEIER-SMITH Luke (AUS),1,3:44.007,7,40.177,7,"['0:43.840', '4:36.881', '6:00.520', '6:36.656', '7:18.556', '7:18.556', '7:18.556', '7:18.556', '0:43.667', '1:44.314', '2:30.206', '3:07.455', '3:48.212', '3:48.212', '3:48.212', '3:48.212', '0:43.315', '1:43.291', '2:27.674', '3:04.411', '3:44.007', '3:44.007', '3:44.007', '3:44.007', '4:52.865', '17:46.591', '24:00.022', '26:53.355', '28:18.518', '28:18.518', '28:18.518', '28:18.518', '3:44.007', '3:44.007', '3:44.007', '3:44.007']","['43.840', '233.041', '83.639', '36.136', '41.900', '0.000', '0.000', '0.000', '-394.889', '60.647', '45.892', '37.249', '40.757', '0.000', '0.000', '0.000', '-184.897', '59.976', '44.383', '36.737', '39.596', '0.000', '0.000', '0.000', '68.858', '773.726', '373.431', '173.333', '85.163', '0.000', '0.000', '0.000', '-1474.511', '0.000', '0.000', '0.000']",0:43.840,4:36.881,6:00.520,6:36.656,7:18.556,43.84,276.881,360.52,396.656,438.556,4,57,47,42,39,43.84,233.04099999999997,83.63900000000001,36.136000000000024,41.89999999999998,4,73,40,1,18,180.167,-52.87399999999997,-136.51299999999998,-172.649,25,23,39,45
2,VERGIER Loris (FRA),1,3:44.744,8,40.046,8,"['0:44.042', '1:43.062', '3:30.787', '4:07.270', '4:48.173', '4:48.173', '4:48.173', '4:48.173', '0:43.256', '1:42.180', '2:27.269', '3:04.307', '3:44.744', '3:44.744', '3:44.744', '3:44.744', '0:44.288', '3:38.019', '5:45.830', '6:22.645', '7:35.963', '7:35.963', '7:35.963', '7:35.963', '3:44.744', '3:44.744', '3:44.744', '3:44.744']","['44.042', '59.020', '107.725', '36.483', '40.903', '0.000', '0.000', '0.000', '-244.917', '58.924', '45.089', '37.038', '40.437', '0.000', '0.000', '0.000', '-180.456', '173.731', '127.811', '36.815', '73.318', '0.000', '0.000', '0.000', '-231.219', '0.000', '0.000', '0.000']",0:44.042,1:43.062,3:30.787,4:07.270,4:48.173,44.042,103.062,210.787,247.27,288.173,10,4,18,17,17,44.042,59.019999999999996,107.72500000000001,36.483000000000004,40.90299999999999,10,3,51,3,3,180.702,121.682,13.956999999999994,-22.52600000000001,26,58,65,66
4,PIERRON Amaury (FRA),1,3:45.310,9,39.945,9,"['0:43.850', '1:43.282', '12:32.619', '14:32.086', '15:15.090', '15:15.090', '15:15.090', '15:15.090', '0:43.545', '1:43.638', '2:30.839', '3:08.227', '3:49.215', '3:49.215', '3:49.215', '3:49.215', '0:43.007', '1:42.078', '2:28.094', '3:05.106', '3:45.310', '3:45.310', '3:45.310', '3:45.310', '8:50.580', '9:50.063', '16:54.200', '17:30.451', '3:45.310', '3:45.310', '3:45.310', '3:45.310']","['43.850', '59.432', '649.337', '119.467', '43.004', '0.000', '0.000', '0.000', '-871.545', '60.093', '47.201', '37.388', '40.988', '0.000', '0.000', '0.000', '-186.208', '59.071', '46.016', '37.012', '40.204', '0.000', '0.000', '0.000', '305.270', '59.483', '424.137', '36.251', '-825.141', '0.000', '0.000', '0.000']",0:43.850,1:43.282,12:32.619,14:32.086,15:15.090,43.85,103.282,752.619,872.086,915.09,5,6,79,79,79,43.85,59.431999999999995,649.337,119.46699999999998,43.00400000000002,5,6,89,75,31,181.46,122.028,-527.309,-646.7760000000001,29,60,9,9
19,PIERRON Antoine (FRA),1,3:45.406,10,39.928,10,"['0:44.133', '1:42.258', '4:19.888', '6:29.715', '7:11.210', '7:11.210', '7:11.210', '7:11.210', '0:43.697', '1:41.833', '2:27.218', '3:04.299', '3:45.406', '3:45.406', '3:45.406', '3:45.406', '3:35.834', '5:14.378', '11:24.849', '13:21.715', '17:09.741', '17:09.741', '17:09.741', '17:09.741', '3:45.406', '3:45.406', '3:45.406', '3:45.406']","['44.133', '58.125', '157.630', '129.827', '41.495', '0.000', '0.000', '0.000', '-387.513', '58.136', '45.385', '37.081', '41.107', '0.000', '0.000', '0.000', '-9.572', '98.544', '370.471', '116.866', '228.026', '0.000', '0.000', '0.000', '-804.335', '0.000', '0.000', '0.000']",0:44.133,1:42.258,4:19.888,6:29.715,7:11.210,44.133,102.25800000000001,259.888,389.715,431.21,11,3,29,41,37,44.133,58.12500000000001,157.62999999999997,129.827,41.495000000000005,11,2,66,80,10,181.273,123.148,-34.48199999999997,-164.30899999999997,28,61,56,46
1,BRUNI Loic (FRA),1,3:45.864,11,39.847,11,"['0:42.922', '1:41.035', '3:49.900', '4:28.086', '5:09.140', '5:09.140', '5:09.140', '5:09.140', '0:42.728', '9:50.866', '10:36.008', '11:12.989', '11:53.440', '11:53.440', '11:53.440', '11:53.440', '0:42.768', '1:41.980', '2:27.951', '3:05.379', '3:45.864', '3:45.864', '3:45.864', '3:45.864', '4:11.030', '5:10.665', '12:50.684', '16:37.961', '24:03.313', '24:03.313', '24:03.313', '24:03.313', '3:45.864', '3:45.864', '3:45.864', '3:45.864']","['42.922', '58.113', '128.865', '38.186', '41.054', '0.000', '0.000', '0.000', '-266.412', '548.138', '45.142', '36.981', '40.451', '0.000', '0.000', '0.000', '-670.672', '59.212', '45.971', '37.428', '40.485', '0.000', '0.000', '0.000', '25.166', '59.635', '460.019', '227.277', '445.352', '0.000', '0.000', '0.000', '-1217.449', '0.000', '0.000', '0.000']",0:42.922,1:41.035,3:49.900,4:28.086,5:09.140,42.922,101.035,229.9,268.086,309.14,2,1,22,18,18,42.922,58.113,128.865,38.18600000000001,41.053999999999974,2,1,57,17,6,182.942,124.82900000000001,-4.036000000000001,-42.22200000000001,31,67,60,64
95,MUÑOZ Fernando Juan * (COL),1,3:45.971,12,39.828,12,"['9:49.083', '12:33.930', '13:20.547', '14:48.815', '15:43.547', '15:43.547', '15:43.547', '15:43.547', '0:44.305', '1:46.311', '2:33.413', '3:11.370', '3:52.980', '3:52.980', '3:52.980', '3:52.980', '0:43.253', '1:43.164', '2:27.965', '3:04.626', '3:45.971', '3:45.971', '3:45.971', '3:45.971', '3:45.971', '3:45.971', '3:45.971', '3:45.971']","['589.083', '164.847', '46.617', '88.268', '54.732', '0.000', '0.000', '0.000', '-899.242', '62.006', '47.102', '37.957', '41.610', '0.000', '0.000', '0.000', '-189.727', '59.911', '44.801', '36.661', '41.345', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000']",9:49.083,12:33.930,13:20.547,14:48.815,15:43.547,589.083,753.93,800.547,888.815,943.547,91,90,81,80,81,589.083,164.84699999999998,46.617000000000075,88.26800000000003,54.73199999999997,91,64,8,64,62,-363.11199999999997,-527.959,-574.576,-662.844,2,2,8,7
8,DUNNE Ronan (IRL),1,3:05.249,1,48.583,1,"['2:21.892', '3:23.109', '4:31.782', '5:09.631', '5:53.243', '5:53.243', '5:53.243', '5:53.243', '0:45.145', '2:29.396', '3:15.686', '0:46.066', '4:53.931', '5:41.383', '6:28.716', '7:23.402', '7:23.402', '7:23.402', '7:23.402', '2:00.502', '2:59.481', '4:10.719', '5:12.170', '5:52.273', '5:52.273', '5:52.273', '5:52.273', '0:43.776', '1:42.494', '2:27.864', '3:05.249']","['141.892', '61.217', '68.673', '37.849', '43.612', '0.000', '0.000', '0.000', '-308.098', '104.251', '46.290', '-149.620', '247.865', '47.452', '47.333', '54.686', '0.000', '0.000', '0.000', '-322.900', '58.979', '71.238', '61.451', '40.103', '0.000', '0.000', '0.000', '-308.497', '58.718', '45.370', '37.385']",2:21.892,3:23.109,4:31.782,5:09.631,5:53.243,141.892,203.109,271.782,309.631,353.243,73,49,31,24,23,141.892,61.21700000000001,68.67299999999997,37.84899999999999,43.61200000000002,73,15,29,12,43,43.357,-17.860000000000014,-86.53299999999999,-124.38199999999998,11,30,45,53
66,KOLB Andreas (AUT),1,3:46.378,13,39.757,13,"['0:45.562', '12:28.785', '19:47.043', '20:24.687', '24:40.910', '24:40.910', '24:40.910', '24:40.910', '0:44.676', '9:18.692', '10:03.960', '11:13.172', '11:55.305', '11:55.305', '11:55.305', '11:55.305', '0:43.289', '1:41.794', '2:27.957', '3:05.108', '3:46.378', '3:46.378', '3:46.378', '3:46.378', '4:43.104', '7:15.958', '8:56.264', '12:18.002', '12:59.239', '12:59.239', '12:59.239', '12:59.239', '3:46.378', '3:46.378', '3:46.378', '3:46.378']","['45.562', '703.223', '438.258', '37.644', '256.223', '0.000', '0.000', '0.000', '-1436.234', '514.016', '45.268', '69.212', '42.133', '0.000', '0.000', '0.000', '-672.016', '58.505', '46.163', '37.151', '41.270', '0.000', '0.000', '0.000', '56.726', '152.854', '100.306', '201.738', '41.237', '0.000', '0.000', '0.000', '-552.861', '0.000', '0.000', '0.000']",0:45.562,12:28.785,19:47.043,20:24.687,24:40.910,45.562,748.785,1187.043,1224.687,1480.91,27,89,91,91,91,45.562,703.223,438.2579999999999,37.644000000000005,256.2230000000002,27,91,83,5,92,180.81599999999997,-522.4069999999999,-960.665,-998.309,27,3,2,2
