rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
1,P,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,56.882,7,3:05.523,+0.000,250,0:32.280,1,00:32.280000,1:16.066,2,00:43.786000,1:53.411,1,00:37.345000,2:32.570,1,00:39.159000,1,2,2,1,00:32.953000,1
2,P,4,ILES Finn,SPECIALIZED GRAVITY,10090907774,CAN,1999,57.488,2,3:07.917,+2.394,210,0:32.428,3,00:32.428000,1:15.764,1,00:43.336000,1:54.022,2,00:38.258000,2:34.439,3,00:40.417000,3,1,8,8,00:33.478000,7
3,,35,STEVENS-MCNAB Lachlan *,UNION - FORGED BY STEEL CITY MEDIA,10110184506,NZL,2004,57.305,3,3:08.638,+3.115,180,0:33.039,15,00:33.039000,1:17.722,16,00:44.683000,1:55.109,5,00:37.387000,2:35.480,5,00:40.371000,15,13,3,7,00:33.158000,2
4,,28,O CALLAGHAN Oisin *,YT MOB,10017486353,IRL,2003,56.782,9,3:08.757,+3.234,160,0:33.104,16,00:33.104000,1:17.399,13,00:44.295000,1:56.283,14,00:38.884000,2:35.497,6,00:39.214000,16,8,18,2,00:33.260000,3
5,P,7,COULANGES Benoit,DORVAL AM COMMENCAL,10008194359,FRA,1994,55.158,24,3:08.784,+3.261,140,0:32.698,5,00:32.698000,1:16.616,3,00:43.918000,1:54.437,4,00:37.821000,2:34.763,4,00:40.326000,5,3,4,6,00:34.021000,9
6,,5,KOLB Andreas,CONTINENTAL ATHERTON,10009187092,AUT,1996,56.505,10,3:09.012,+3.489,125,0:32.877,13,00:32.877000,1:17.076,7,00:44.199000,1:55.853,11,00:38.777000,2:35.590,7,00:39.737000,13,5,15,3,00:33.422000,5
7,P,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,58.127,1,3:09.518,+3.995,110,0:32.838,11,00:32.838000,1:17.088,8,00:44.250000,1:54.236,3,00:37.148000,2:34.270,2,00:40.034000,11,6,1,4,00:35.248000,20
9,P,8,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,57.305,3,3:11.251,+5.728,80,0:32.732,8,00:32.732000,1:17.454,14,00:44.722000,1:56.243,13,00:38.789000,2:37.489,11,00:41.246000,8,14,17,14,00:33.762000,8
10,,34,DAPRELA Thibaut,N/A,10072798480,FRA,2001,56.153,15,3:11.289,+5.766,75,0:32.771,9,00:32.771000,1:17.040,6,00:44.269000,1:55.535,8,00:38.495000,2:36.758,10,00:41.223000,9,7,11,12,00:34.531000,13
11,,23,HART Danny,CONTINENTAL GT RACING,10005470073,GBR,1991,56.505,10,3:11.333,+5.810,71,0:32.818,10,00:32.818000,1:17.214,11,00:44.396000,1:55.991,12,00:38.777000,2:36.249,9,00:40.258000,10,9,15,5,00:35.084000,19
12,P,12,DUNNE Ronan *,MONDRAKER FACTORY RACING,10017006104,IRL,2002,54.271,30,3:11.935,+6.412,68,0:32.711,6,00:32.711000,1:17.130,9,00:44.419000,1:56.887,17,00:39.757000,2:37.650,12,00:40.763000,6,11,27,9,00:34.285000,12
13,P,19,PIERRON Amaury,COMMENCAL/MUC-OFF BY RIDING,10008827283,FRA,1996,54.730,26,3:12.396,+6.873,65,0:32.717,7,00:32.717000,1:17.493,15,00:44.776000,1:56.747,16,00:39.254000,2:39.019,20,00:42.272000,7,15,24,19,00:33.377000,4
14,P,9,NORTON Dakotah,MONDRAKER FACTORY RACING,10010038167,USA,1992,56.309,14,3:12.602,+7.079,63,0:32.863,12,00:32.863000,1:17.270,12,00:44.407000,1:55.764,10,00:38.494000,2:37.780,13,00:42.016000,12,10,10,17,00:34.822000,17
15,,24,THIRION Rémi,GIANT FACTORY OFF-ROAD TEAM - DH,10005415715,FRA,1990,55.766,18,3:12.650,+7.127,60,0:33.384,20,00:33.384000,1:18.976,21,00:45.592000,1:57.942,23,00:38.966000,2:39.195,21,00:41.253000,19,24,19,15,00:33.455000,6
16,,36,WALKER Matt,MADISON SARACEN FACTORY TEAM,10011016756,GBR,1999,56.094,16,3:12.934,+7.411,58,0:32.356,2,00:32.356000,1:16.907,5,00:44.551000,1:55.620,9,00:38.713000,2:37.982,14,00:42.362000,2,12,14,21,00:34.952000,18
17,,22,WILLIAMS Jordan *,SPECIALIZED GRAVITY,10083936306,GBR,2004,55.537,23,3:13.038,+7.515,56,0:33.975,25,00:33.975000,1:19.357,24,00:45.382000,1:57.370,19,00:38.013000,2:38.388,16,00:41.018000,24,21,5,11,00:34.650000,14
18,,39,HATTON Charlie,CONTINENTAL ATHERTON,10009897014,GBR,1998,55.632,20,3:13.622,+8.099,54,0:34.542,27,00:34.542000,1:19.925,25,00:45.383000,1:58.135,25,00:38.210000,2:38.946,18,00:40.811000,26,22,6,10,00:34.676000,15
19,P,3,VERGIER Loris,TREK FACTORY RACING GRAVITY,10008723112,FRA,1996,56.017,17,3:14.704,+9.181,52,0:32.691,4,00:32.691000,1:16.714,4,00:44.023000,1:55.365,7,00:38.651000,2:38.343,15,00:42.978000,4,4,13,23,00:36.361000,24
20,,66,BREEDEN Joe,INTENSE FACTORY RACING,10011005743,GBR,1999,54.472,28,3:14.796,+9.273,50,0:33.848,23,00:33.848000,1:19.047,22,00:45.199000,1:58.014,24,00:38.967000,2:40.691,23,00:42.677000,22,20,20,22,00:34.105000,11
