rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,split_2,split_2_rank,split_3,split_3_rank,split_4,split_4_rank,sector_1,sector_1_rank,sector_2,sector_2_rank,sector_3,sector_3_rank,sector_4,sector_4_rank,sector_5,sector_5_rank
1,p,28,O CALLAGHAN Oisin *,YT MOB,10017486353,IRL,2003,54.490,85,3:09.336,+0.000,50,0:33.636,14,1:18.014,8,1:57.530,10,2:36.230,2,00:33.636000,14.0,00:44.378000,3.0,00:39.516000,41.0,00:38.700000,1.0,00:33.106000,2
2,P,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,58.632,1,3:09.396,+0.060,40,0:33.248,5,1:17.662,5,1:55.046,1,2:35.613,1,00:33.248000,5.0,00:44.414000,5.0,00:37.384000,1.0,00:40.567000,7.0,00:33.783000,9
3,P,8,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,55.939,19,3:10.337,+1.001,30,0:32.896,4,1:17.537,4,1:56.943,5,2:36.923,3,00:32.896000,4.0,00:44.641000,7.0,00:39.406000,36.0,00:39.980000,3.0,00:33.414000,5
4,p,6,KERR Bernard,PIVOT FACTORY RACING,10006413094,GBR,1991,55.824,25,3:10.819,+1.483,25,0:33.412,9,1:18.275,10,1:57.197,7,2:37.815,7,00:33.412000,9.0,00:44.863000,13.0,00:38.922000,13.0,00:40.618000,8.0,00:33.004000,1
5,,110,MEEK Toby *,MEEKBOYZ RACING,10064077170,NZL,2004,55.441,45,3:11.185,+1.849,22,0:33.315,6,1:17.679,6,1:57.313,9,2:37.711,6,00:33.315000,6.0,00:44.364000,2.0,00:39.634000,50.0,00:40.398000,4.0,00:33.474000,6
6,P,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,56.133,16,3:11.208,+1.872,20,0:32.779,1,1:17.530,2,1:56.032,2,2:37.379,4,00:32.779000,1.0,00:44.751000,9.0,00:38.502000,5.0,00:41.347000,21.0,00:33.829000,10
7,P,3,VERGIER Loris,TREK FACTORY RACING GRAVITY,10008723112,FRA,1996,57.042,9,3:11.785,+2.449,18,0:33.563,12,1:18.020,9,1:56.875,4,2:37.435,5,00:33.563000,12.0,00:44.457000,6.0,00:38.855000,10.0,00:40.560000,6.0,00:34.350000,19
8,p,23,HART Danny,CONTINENTAL GT RACING,10005470073,GBR,1991,55.785,26,3:12.185,+2.849,17,0:33.606,13,1:17.844,7,1:57.076,6,2:38.123,8,00:33.606000,13.0,00:44.238000,1.0,00:39.232000,28.0,00:41.047000,16.0,00:34.062000,13
9,P,19,PIERRON Amaury,COMMENCAL/MUC-OFF BY RIDING,10008827283,FRA,1996,55.385,47,3:12.381,+3.045,16,0:33.545,11,1:18.354,11,1:57.695,12,2:38.200,9,00:33.545000,11.0,00:44.809000,11.0,00:39.341000,32.0,00:40.505000,5.0,00:34.181000,15
10,,34,DAPRELA Thibaut,N/A,10072798480,FRA,2001,54.953,67,3:12.763,+3.427,15,0:33.488,10,1:19.164,17,1:58.830,19,2:39.539,15,00:33.488000,10.0,00:45.676000,28.0,00:39.666000,51.0,00:40.709000,9.0,00:33.224000,3
11,P,7,COULANGES Benoit,DORVAL AM COMMENCAL,10008194359,FRA,1994,54.564,82,3:12.906,+3.570,14,0:33.788,17,1:18.819,14,1:57.201,8,2:38.958,11,00:33.788000,17.0,00:45.031000,15.0,00:38.382000,2.0,00:41.757000,28.0,00:33.948000,11
12,,55,PINKERTON Kenneth Ryan *,MONDRAKER FACTORY RACING,10063826182,USA,2005,56.075,18,3:13.034,+3.698,13,0:34.769,60,1:19.616,23,1:59.666,31,2:39.257,12,00:34.769000,59.0,00:44.847000,12.0,00:40.050000,74.0,00:39.591000,2.0,00:33.777000,8
13,P,12,DUNNE Ronan *,MONDRAKER FACTORY RACING,10017006104,IRL,2002,55.613,34,3:13.908,+4.572,12,0:33.403,7,1:19.286,18,1:58.499,17,2:39.447,14,00:33.403000,7.0,00:45.883000,31.0,00:39.213000,27.0,00:40.948000,14.0,00:34.461000,22
14,p,5,KOLB Andreas,CONTINENTAL ATHERTON,10009187092,AUT,1996,55.556,39,3:14.172,+4.836,11,0:34.089,23,1:19.470,21,1:59.023,23,2:40.203,16,00:34.089000,23.0,00:45.381000,21.0,00:39.553000,45.0,00:41.180000,18.0,00:33.969000,12
