Number,Name,Run,Speed,Splits,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Sector_Times,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Speed_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
6,KERR Bernard,1,55.556,"['0:36.554', '2:17.912', '2:56.790', '9:08.876', '9:45.145']",0:36.554,2:17.912,2:56.790,9:08.876,9:45.145,36.554,137.912,176.79,548.876,585.145,"[36.554, 101.358, 38.877999999999986, 372.086, 36.269000000000005]",36.554,101.358,38.877999999999986,372.086,36.269000000000005,187,303,298,346,322,187,342,47,390,133,100,548.591,447.23299999999995,408.355,36.269000000000005,340,367,367,133
6,KERR Bernard,2,57.244,"['0:35.326', '1:20.822', '1:59.347', '6:30.819', '7:06.825']",0:35.326,1:20.822,1:59.347,6:30.819,7:06.825,35.326,80.822,119.34700000000001,390.819,426.825,"[35.326, 45.496, 38.525000000000006, 271.472, 36.00599999999997]",35.326,45.496,38.525000000000006,271.472,36.00599999999997,79,22,11,283,258,79,7,21,350,113,11,391.49899999999997,346.003,307.47799999999995,36.00599999999997,276,320,320,113
6,KERR Bernard,3,57.961,"['0:34.204', '1:19.296', '1:57.875', '2:38.526', '3:12.060', '3:12.060', '3:12.060', '3:12.060', '3:12.060']",0:34.204,1:19.296,1:57.875,2:38.526,3:12.060,34.204,79.29599999999999,117.875,158.526,192.06,"[34.204, 45.09199999999999, 38.57900000000001, 40.65100000000001, 33.53399999999999, 0.0, 0.0, 0.0, 0.0]",34.204,45.09199999999999,38.57900000000001,40.65100000000001,33.53399999999999,13,4,3,2,1,13,2,26,8,8,3,157.856,112.76400000000001,74.185,33.53399999999999,2,3,4,8
5,KOLB Andreas,1,55.102,"['0:35.038', '2:27.983', '3:07.062', '12:48.129', '13:22.211']",0:35.038,2:27.983,3:07.062,12:48.129,13:22.211,35.038,147.983,187.062,768.129,802.211,"[35.038, 112.94500000000001, 39.07900000000001, 581.067, 34.081999999999994]",35.038,112.94500000000001,39.07900000000001,581.067,34.081999999999994,57,329,321,417,403,57,366,68,451,18,157,767.173,654.2280000000001,615.149,34.081999999999994,414,433,435,18
5,KOLB Andreas,2,56.683,"['0:34.439', '1:20.114', '1:59.851', '2:40.413', '3:14.328']",0:34.439,1:20.114,1:59.851,2:40.413,3:14.328,34.439,80.114,119.851,160.413,194.328,"[34.439, 45.675000000000004, 39.736999999999995, 40.56200000000001, 33.91499999999999]",34.439,45.675000000000004,39.736999999999995,40.56200000000001,33.91499999999999,25,11,18,7,7,25,9,140,7,14,30,159.889,114.214,74.477,33.91499999999999,7,8,6,14
5,KOLB Andreas,3,55.785,"['0:33.874', '1:18.729', '1:57.775', '2:38.161', '3:12.713', '3:12.713', '3:12.713', '3:12.713', '3:12.713']",0:33.874,1:18.729,1:57.775,2:38.161,3:12.713,33.874,78.729,117.775,158.161,192.713,"[33.874, 44.855, 39.04600000000001, 40.385999999999996, 34.55199999999999, 0.0, 0.0, 0.0, 0.0]",33.874,44.855,39.04600000000001,40.385999999999996,34.55199999999999,4,1,2,1,2,4,1,64,5,36,81,158.839,113.984,74.93799999999999,34.55199999999999,3,6,9,36
19,PIERRON Amaury,1,55.843,"['0:34.776', '1:22.092', '2:01.203', '2:42.516', '3:17.431']",0:34.776,1:22.092,2:01.203,2:42.516,3:17.431,34.776,82.092,121.203,162.516,197.431,"[34.776, 47.315999999999995, 39.111000000000004, 41.31299999999999, 34.91500000000002]",34.776,47.315999999999995,39.111000000000004,41.31299999999999,34.91500000000002,36,43,36,14,17,36,63,73,14,48,77,162.655,115.33900000000001,76.22800000000001,34.91500000000002,20,14,20,48
19,PIERRON Amaury,2,56.289,"['0:34.542', '12:54.542', '13:32.818', '18:23.255', '18:57.103']",0:34.542,12:54.542,13:32.818,18:23.255,18:57.103,34.542,774.542,812.818,1103.255,1137.103,"[34.542, 740.0, 38.275999999999954, 290.4370000000001, 33.847999999999956]",34.542,740.0,38.275999999999954,290.4370000000001,33.847999999999956,28,496,496,474,464,28,504,7,359,13,50,1102.5610000000001,362.56100000000004,324.2850000000001,33.847999999999956,470,327,328,13
19,PIERRON Amaury,3,55.366,"['0:33.951', '1:19.790', '1:59.039', '2:39.951', '3:13.250', '3:13.250', '3:13.250', '3:13.250', '3:13.250']",0:33.951,1:19.790,1:59.039,2:39.951,3:13.250,33.951,79.78999999999999,119.039,159.951,193.25,"[33.951, 45.83899999999999, 39.24900000000001, 40.91199999999999, 33.29900000000001, 0.0, 0.0, 0.0, 0.0]",33.951,45.83899999999999,39.24900000000001,40.91199999999999,33.29900000000001,6,7,8,5,3,6,12,87,12,6,127,159.299,113.46000000000001,74.211,33.29900000000001,4,4,5,6
1,BRUNI Loic,1,56.663,"['0:34.855', '1:23.903', '2:03.418', '9:47.261', '10:21.802']",0:34.855,1:23.903,2:03.418,9:47.261,10:21.802,34.855,83.90299999999999,123.418,587.261,621.802,"[34.855, 49.047999999999995, 39.515000000000015, 463.84299999999996, 34.541000000000054]",34.855,49.047999999999995,39.515000000000015,463.84299999999996,34.541000000000054,45,99,83,363,335,45,170,109,417,35,31,586.947,537.899,498.384,34.541000000000054,356,393,394,35
