rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
1,,39,WALKER Matt,MADISON SARACEN FACTORY TEAM,10011016756,GBR,1999,52.386,11,3:43.822,+0.000,-,0:39.880,1,00:39.880000,1:41.096,1,01:01.216000,2:25.332,1,00:44.236000,3:20.508,2,00:55.176000,1,2,12,12,00:23.314000,4
2,P,8,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,51.458,23,3:43.914,+0.092,-,0:41.568,20,00:41.568000,1:43.067,7,01:01.499000,2:27.166,7,00:44.099000,3:20.476,1,00:53.310000,19,4,8,1,00:23.438000,8
3,P,9,NORTON Dakotah,MONDRAKER FACTORY RACING,10010038167,USA,1992,52.478,9,3:44.070,+0.248,-,0:41.586,23,00:41.586000,1:43.635,12,01:02.049000,2:27.298,8,00:43.663000,3:20.659,3,00:53.361000,22,8,1,2,00:23.411000,7
4,P,5,KOLB Andreas,CONTINENTAL ATHERTON,10009187092,AUT,1996,52.662,5,3:44.496,+0.674,-,0:40.372,2,00:40.372000,1:42.574,6,01:02.202000,2:26.250,5,00:43.676000,3:20.769,4,00:54.519000,2,10,2,4,00:23.727000,25
5,P,13,DUNNE Ronan *,MONDRAKER FACTORY RACING,10017006104,IRL,2002,51.165,25,3:44.644,+0.822,-,0:40.621,3,00:40.621000,1:42.498,5,01:01.877000,2:26.212,4,00:43.714000,3:21.153,6,00:54.941000,3,5,4,6,00:23.491000,11
6,p,6,KERR Bernard,PIVOT FACTORY RACING,10006413094,GBR,1991,52.848,3,3:44.769,+0.947,-,0:40.811,4,00:40.811000,1:41.532,2,01:00.721000,2:25.855,2,00:44.323000,3:20.926,5,00:55.071000,4,1,17,9,00:23.843000,35
7,p,7,COULANGES Benoit,DORVAL AM COMMENCAL,10008194359,FRA,1994,51.107,28,3:45.045,+1.223,-,0:41.297,14,00:41.297000,1:43.305,8,01:02.008000,2:27.551,10,00:44.246000,3:21.808,8,00:54.257000,13,6,13,3,00:23.237000,2
8,P,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,51.843,20,3:45.436,+1.614,-,0:40.821,5,00:40.821000,1:42.202,4,01:01.381000,2:26.265,6,00:44.063000,3:21.520,7,00:55.255000,5,3,7,14,00:23.916000,39
9,,36,PINKERTON Ryan *,MONDRAKER FACTORY RACING,10063826182,USA,2005,52.265,13,3:46.721,+2.899,-,0:41.716,26,00:41.716000,1:43.778,13,01:02.062000,2:27.962,13,00:44.184000,3:22.725,9,00:54.763000,25,9,11,5,00:23.996000,44
10,P,4,ILES Finn,SPECIALIZED GRAVITY,10090907774,CAN,1999,50.477,38,3:46.953,+3.131,-,0:41.233,12,00:41.233000,1:43.851,16,01:02.618000,2:28.126,15,00:44.275000,3:23.210,10,00:55.084000,11,18,14,10,00:23.743000,26
