rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
1,,6,GOLDSTONE Jackson *,SANTA CRUZ SYNDICATE,10053812449,CAN,2004,61.620,7,3:42.221,+0.000,50,0:42.895,4,00:42.895000,1:41.768,6,00:58.873000,2:26.756,5,00:44.988000,2:59.240,4,00:32.484000,4,14,7,2,00:42.981000,1
2,,3,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,61.974,3,3:42.824,+0.603,40,0:43.156,8,00:43.156000,1:41.505,4,00:58.349000,2:26.919,8,00:45.414000,2:59.192,3,00:32.273000,8,4,18,1,00:43.632000,3
3,,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,60.516,13,3:43.987,+1.766,30,0:43.285,11,00:43.285000,1:42.358,12,00:59.073000,2:27.476,13,00:45.118000,3:00.129,7,00:32.653000,11,18,11,3,00:43.858000,4
4,,2,VERGIER Loris,COMMENCAL/MUC-OFF BY RIDING,10008723112,FRA,1996,60.134,19,3:44.102,+1.881,25,0:43.004,6,00:43.004000,1:41.410,3,00:58.406000,2:25.965,1,00:44.555000,2:59.143,2,00:33.178000,6,5,2,11,00:44.959000,25
5,,100,O CALLAGHAN Oisin *,YT MOB,10017486353,IRL,2003,58.547,41,3:44.219,+1.998,22,0:42.678,1,00:42.678000,1:41.148,1,00:58.470000,2:26.530,4,00:45.382000,2:59.875,6,00:33.345000,1,6,17,18,00:44.344000,9
6,,52,MAPLES Dylan *,COMMENCAL/MUC-OFF BY RIDING,10114296696,USA,2003,60.856,12,3:44.560,+2.339,20,0:43.831,23,00:43.831000,1:42.368,13,00:58.537000,2:27.284,12,00:44.916000,3:00.621,12,00:33.337000,22,7,3,17,00:43.939000,5
7,,48,CRAIK George Ethan *,SCOTT DOWNHILL FACTORY,10083936912,GBR,2003,62.021,2,3:44.613,+2.392,18,0:43.293,12,00:43.293000,1:41.932,8,00:58.639000,2:26.911,7,00:44.979000,3:00.182,9,00:33.271000,12,8,6,15,00:44.431000,10
8,,66,KOLB Andreas,YT MOB,10009187092,AUT,1996,61.550,9,3:44.985,+2.764,17,0:43.276,9,00:43.276000,1:41.949,9,00:58.673000,2:27.249,11,00:45.300000,3:00.166,8,00:32.917000,9,10,15,6,00:44.819000,16
9,,9,COULANGES Benoit,SCOTT DOWNHILL FACTORY,10008194359,FRA,1994,60.403,15,3:45.011,+2.790,16,0:43.648,18,00:43.648000,1:41.768,6,00:58.120000,2:26.820,6,00:45.052000,2:59.773,5,00:32.953000,17,2,9,8,00:45.238000,34
10,,51,DAPRELA Thibaut,ROGUE RACING - SR SUNTOUR,10072798480,FRA,2001,59.146,29,3:45.045,+2.824,15,0:43.079,7,00:43.079000,1:42.255,11,00:59.176000,2:27.178,9,00:44.923000,3:00.448,11,00:33.270000,7,20,4,13,00:44.597000,13
