Number,Name,Run,Splits,Time,Speed,Final_Time_Seconds,Orig_Split_1_Time,Clean_Split_1_Time,Orig_Split_2_Time,Clean_Split_2_Time,Orig_Split_3_Time,Clean_Split_3_Time,Orig_Split_4_Time,Clean_Split_4_Time,Orig_Split_5_Time,Clean_Split_5_Time,Orig_Split_6_Time,Clean_Split_6_Time,Orig_Split_7_Time,Clean_Split_7_Time,Orig_Split_8_Time,Clean_Split_8_Time,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Sector_6_Time,Sector_7_Time,Sector_8_Time,Orig_Split_9_Time,Clean_Split_9_Time,Orig_Split_10_Time,Clean_Split_10_Time,Sector_9_Time,Sector_10_Time,Clean_Split_1_Rank,Sector_1_Rank,Clean_Split_2_Rank,Sector_2_Rank,Clean_Split_3_Rank,Sector_3_Rank,Clean_Split_4_Rank,Sector_4_Rank,Clean_Split_5_Rank,Sector_5_Rank,Speed_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Time,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Time,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Time,Cumulative_from_Split_4_Rank,Overall_Rank,Total_Time,Best
6,GOLDSTONE Jackson * (CAN),1,"['0:46.519', '2:37.122', '3:22.334', '8:55.528', '9:37.603', '9:37.603', '9:37.603', '9:37.603']",9:37.603,0.0,577.603,0:46.519,46.519,2:37.122,157.122,3:22.334,202.334,8:55.528,535.528,9:37.603,577.603,9:37.603,577.603,9:37.603,577.603,9:37.603,577.603,46.519,110.60300000000001,45.21199999999999,333.194,42.07499999999993,0.0,0.0,0.0,,,,,,,181.0,181.0,144.0,165.0,112.0,10.0,209.0,310.0,196.0,103.0,224.0,1472.587,171.0,1315.4650000000001,177.0,1113.1309999999999,198.0,577.603,196.0,204.0,577.603,221.976
6,GOLDSTONE Jackson * (CAN),2,"['0:42.659', '1:41.099', '2:26.119', '3:02.521', '3:41.976', '3:41.976', '3:41.976', '3:41.976']",3:41.976,58.526,221.976,0:42.659,42.659,1:41.099,101.09899999999999,2:26.119,146.119,3:02.521,182.521,3:41.976,221.976,3:41.976,221.976,3:41.976,221.976,3:41.976,221.976,42.659,58.43999999999999,45.02000000000001,36.40199999999999,39.45500000000001,0.0,0.0,0.0,,,,,,,1.0,1.0,3.0,7.0,3.0,7.0,2.0,6.0,2.0,5.0,84.0,651.7149999999999,1.0,550.616,2.0,404.49699999999996,2.0,221.976,2.0,6.0,221.976,221.976
6,GOLDSTONE Jackson * (CAN),3,"['0:44.466', '12:53.994', '13:39.536', '15:05.801', '15:46.741', '15:46.741', '15:46.741', '15:46.741']",15:46.741,58.632,946.741,0:44.466,44.466,12:53.994,773.994,13:39.536,819.5360000000001,15:05.801,905.801,15:46.741,946.741,15:46.741,946.741,15:46.741,946.741,15:46.741,946.741,44.466,729.528,45.54200000000003,86.26499999999999,40.93999999999994,0.0,0.0,0.0,,,,,,,77.0,77.0,298.0,305.0,279.0,18.0,277.0,236.0,265.0,37.0,79.0,3446.072,275.0,2672.078,269.0,1852.542,268.0,946.741,265.0,274.0,946.741,221.976
17,WILLIAMS Jordan * (GBR),1,"['0:43.998', '1:43.212', '2:28.486', '3:04.851', '3:44.416', '3:44.416', '3:44.416', '3:44.416']",3:44.416,0.0,224.416,0:43.998,43.998,1:43.212,103.212,2:28.486,148.486,3:04.851,184.851,3:44.416,224.416,3:44.416,224.416,3:44.416,224.416,3:44.416,224.416,43.998,59.214000000000006,45.27399999999999,36.36500000000001,39.565,0.0,0.0,0.0,,,,,,,47.0,47.0,22.0,17.0,14.0,12.0,8.0,4.0,5.0,6.0,224.0,660.9649999999999,7.0,557.7529999999999,7.0,409.267,6.0,224.416,5.0,9.0,224.416,222.263
17,WILLIAMS Jordan * (GBR),2,"['0:43.576', '1:41.688', '2:26.002', '3:02.809', '3:42.263', '3:42.263', '3:42.263', '3:42.263']",3:42.263,60.358,222.263,0:43.576,43.576,1:41.688,101.688,2:26.002,146.002,3:02.809,182.809,3:42.263,222.263,3:42.263,222.263,3:42.263,222.263,3:42.263,222.263,43.576,58.112,44.31400000000001,36.80699999999999,39.45400000000001,0.0,0.0,0.0,,,,,,,29.0,29.0,4.0,2.0,2.0,2.0,3.0,12.0,3.0,4.0,26.0,652.7620000000001,2.0,551.0740000000001,3.0,405.072,3.0,222.263,3.0,7.0,222.263,222.263
27,MEIER-SMITH Luke (AUS),1,"['0:43.840', '4:36.881', '6:00.520', '6:36.656', '7:18.556', '7:18.556', '7:18.556', '7:18.556']",7:18.556,0.0,438.556,0:43.840,43.84,4:36.881,276.881,6:00.520,360.52,6:36.656,396.656,7:18.556,438.556,7:18.556,438.556,7:18.556,438.556,7:18.556,438.556,43.84,233.04099999999997,83.63900000000001,36.136000000000024,41.89999999999998,0.0,0.0,0.0,,,,,,,37.0,37.0,209.0,239.0,185.0,170.0,166.0,1.0,151.0,96.0,224.0,1472.613,172.0,1195.732,160.0,835.212,155.0,438.556,151.0,158.0,438.556,224.007
27,MEIER-SMITH Luke (AUS),2,"['0:43.667', '1:44.314', '2:30.206', '3:07.455', '3:48.212', '3:48.212', '3:48.212', '3:48.212']",3:48.212,63.011,228.212,0:43.667,43.667,1:44.314,104.314,2:30.206,150.206,3:07.455,187.455,3:48.212,228.212,3:48.212,228.212,3:48.212,228.212,3:48.212,228.212,43.667,60.64699999999999,45.891999999999996,37.249000000000024,40.75699999999998,0.0,0.0,0.0,,,,,,,31.0,31.0,36.0,51.0,24.0,24.0,18.0,22.0,18.0,28.0,1.0,670.187,18.0,565.873,18.0,415.66700000000003,18.0,228.212,18.0,22.0,228.212,224.007
27,MEIER-SMITH Luke (AUS),3,"['0:43.315', '1:43.291', '2:27.674', '3:04.411', '3:44.007', '3:44.007', '3:44.007', '3:44.007']",3:44.007,61.761,224.007,0:43.315,43.315,1:43.291,103.291,2:27.674,147.674,3:04.411,184.411,3:44.007,224.007,3:44.007,224.007,3:44.007,224.007,3:44.007,224.007,43.315,59.976,44.38300000000001,36.736999999999995,39.596000000000004,0.0,0.0,0.0,,,,,,,21.0,21.0,26.0,31.0,6.0,3.0,6.0,10.0,4.0,7.0,6.0,659.383,5.0,556.0920000000001,4.0,408.418,4.0,224.007,4.0,8.0,224.007,224.007
27,MEIER-SMITH Luke (AUS),4,"['4:52.865', '17:46.591', '24:00.022', '26:53.355', '28:18.518', '28:18.518', '28:18.518', '28:18.518']",28:18.518,62.815,1698.518,4:52.865,292.865,17:46.591,1066.591,24:00.022,1440.022,26:53.355,1613.355,28:18.518,1698.518,28:18.518,1698.518,28:18.518,1698.518,28:18.518,1698.518,292.865,773.7259999999999,373.43100000000004,173.33300000000008,85.16300000000001,0.0,0.0,0.0,,,,,,,299.0,299.0,311.0,308.0,310.0,288.0,309.0,292.0,301.0,259.0,2.0,5818.486,301.0,4751.895,301.0,3311.873,301.0,1698.518,301.0,313.0,1698.518,224.007
2,VERGIER Loris (FRA),1,"['0:44.042', '1:43.062', '3:30.787', '4:07.270', '4:48.173', '4:48.173', '4:48.173', '4:48.173']",4:48.173,0.0,288.173,0:44.042,44.042,1:43.062,103.062,3:30.787,210.787,4:07.270,247.27,4:48.173,288.173,4:48.173,288.173,4:48.173,288.173,4:48.173,288.173,44.042,59.019999999999996,107.72500000000001,36.483000000000004,40.90299999999999,0.0,0.0,0.0,,,,,,,52.0,52.0,20.0,13.0,114.0,203.0,107.0,7.0,99.0,36.0,224.0,849.292,101.0,746.23,102.0,535.443,100.0,288.173,99.0,104.0,288.173,224.744
