rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
1,,20,PIERRON Amaury,COMMENCAL/MUC-OFF BY RIDING,10008827283,FRA,1996,59.801,2,3:39.004,+0.000,250,0:45.961,1,00:45.961000,1:43.771,1,00:57.810000,2:30.744,1,00:46.973000,3:04.542,1,00:33.798000,1,1,1,1,00:34.462000,1
2,P,9,NORTON Dakotah,MONDRAKER FACTORY RACING,10010038167,USA,1992,56.294,19,3:43.897,+4.893,210,0:47.009,3,00:47.009000,1:46.539,3,00:59.530000,2:34.941,3,00:48.402000,3:08.940,2,00:33.999000,3,2,4,2,00:34.957000,3
3,P,4,ILES Finn,SPECIALIZED GRAVITY,10090907774,CAN,1999,57.234,9,3:44.884,+5.880,180,0:46.386,2,00:46.386000,1:46.103,2,00:59.717000,2:34.439,2,00:48.336000,3:09.899,3,00:35.460000,2,3,3,7,00:34.985000,4
4,P,8,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,58.442,4,3:45.635,+6.631,160,0:47.278,4,00:47.278000,1:47.422,4,01:00.144000,2:36.343,4,00:48.921000,3:10.642,4,00:34.299000,4,4,7,3,00:34.993000,5
5,P,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,59.975,1,3:47.240,+8.236,140,0:47.403,5,00:47.403000,1:48.498,6,01:01.095000,2:36.802,5,00:48.304000,3:11.761,5,00:34.959000,5,10,2,6,00:35.479000,10
6,P,15,DUNNE Ronan *,MONDRAKER FACTORY RACING,10017006104,IRL,2002,56.626,14,3:48.640,+9.636,125,0:47.681,6,00:47.681000,1:48.139,5,01:00.458000,2:37.624,6,00:49.485000,3:13.685,6,00:36.061000,6,6,8,17,00:34.955000,2
7,,21,O CALLAGHAN Oisin *,YT MOB,10017486353,IRL,2003,56.940,12,3:49.979,+10.975,110,0:48.959,16,00:48.959000,1:49.223,7,01:00.264000,2:39.242,9,00:50.019000,3:14.924,9,00:35.682000,15,5,16,9,00:35.055000,7
8,,33,MAPLES Dylan *,COMMENCAL/MUC-OFF BY RIDING,10114296696,USA,2003,57.785,5,3:50.165,+11.161,95,0:49.451,19,00:49.451000,1:50.498,11,01:01.047000,2:39.183,7,00:48.685000,3:14.878,8,00:35.695000,18,9,6,10,00:35.287000,9
9,P,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,58.944,3,3:51.136,+12.132,80,0:48.830,15,00:48.830000,1:50.623,12,01:01.793000,2:41.000,13,00:50.377000,3:15.929,11,00:34.929000,14,14,21,5,00:35.207000,8
10,,25,HART Danny,CONTINENTAL GT RACING,10005470073,GBR,1991,56.962,11,3:51.449,+12.445,75,0:47.793,8,00:47.793000,1:49.896,8,01:02.103000,2:39.870,10,00:49.974000,3:15.882,10,00:36.012000,8,18,15,15,00:35.567000,11
