rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,split_2,split_2_rank,split_3,split_3_rank,split_4,split_4_rank,sector_1,sector_1_rank,sector_2,sector_2_rank,sector_3,sector_3_rank,sector_4,sector_4_rank,sector_5,sector_5_rank
1,P,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,57.855,2,3:49.418,+0.000,50,0:47.345,2,1:48.208,3,2:38.332,2,3:13.417,1,00:47.345000,2.0,01:00.863000,4.0,00:50.124000,2.0,00:35.085000,1.0,00:36.001000,14
2,P,4,ILES Finn,SPECIALIZED GRAVITY,10090907774,CAN,1999,56.648,9,3:49.531,+0.113,40,0:47.070,1,1:46.727,1,2:35.853,1,3:13.572,2,00:47.070000,1.0,00:59.657000,1.0,00:49.126000,1.0,00:37.719000,40.0,00:35.959000,13
3,P,9,NORTON Dakotah,MONDRAKER FACTORY RACING,10010038167,USA,1992,55.449,31,3:50.023,+0.605,30,0:47.679,5,1:48.344,4,2:38.884,3,3:14.340,3,00:47.679000,5.0,01:00.665000,3.0,00:50.540000,4.0,00:35.456000,3.0,00:35.683000,8
4,p,20,PIERRON Amaury,COMMENCAL/MUC-OFF BY RIDING,10008827283,FRA,1996,56.118,13,3:50.141,+0.723,25,0:47.606,3,1:48.130,2,2:39.103,4,3:14.841,4,00:47.606000,3.0,01:00.524000,2.0,00:50.973000,7.0,00:35.738000,4.0,00:35.300000,4
5,P,8,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,56.895,7,3:50.552,+1.134,22,0:47.631,4,1:49.316,5,2:40.210,5,3:15.471,5,00:47.631000,4.0,01:01.685000,6.0,00:50.894000,6.0,00:35.261000,2.0,00:35.081000,2
6,P,3,VERGIER Loris,TREK FACTORY RACING GRAVITY,10008723112,FRA,1996,54.054,69,3:52.292,+2.874,20,0:47.902,8,1:49.824,6,2:41.209,6,3:17.349,6,00:47.902000,8.0,01:01.922000,7.0,00:51.385000,9.0,00:36.140000,7.0,00:34.943000,1
7,,45,PINKERTON Ryan *,MONDRAKER FACTORY RACING,10063826182,USA,2005,56.962,6,3:54.506,+5.088,18,0:48.270,11,1:51.451,12,2:41.686,7,3:17.813,7,00:48.270000,11.0,01:03.181000,16.0,00:50.235000,3.0,00:36.127000,6.0,00:36.693000,34
8,P,15,DUNNE Ronan *,MONDRAKER FACTORY RACING,10017006104,IRL,2002,55.598,25,3:55.543,+6.125,17,0:48.010,9,1:50.724,10,2:43.615,12,3:20.195,8,00:48.010000,9.0,01:02.714000,12.0,00:52.891000,35.0,00:36.580000,10.0,00:35.348000,5
9,P,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,55.385,32,3:56.254,+6.836,16,0:49.520,33,1:51.943,17,2:44.862,20,3:20.678,12,00:49.520000,33.0,01:02.423000,10.0,00:52.919000,36.0,00:35.816000,5.0,00:35.576000,6
10,p,23,STEVENS-MCNAB Lachlan *,UNION - FORGED BY STEEL CITY MEDIA,10110184506,NZL,2004,57.302,3,3:56.293,+6.875,15,0:49.118,20,1:52.350,18,2:43.154,10,3:20.614,10,00:49.118000,20.0,01:03.232000,18.0,00:50.804000,5.0,00:37.460000,33.0,00:35.679000,7
11,,38,CRAIK George Ethan *,SCOTT DOWNHILL FACTORY,10083936912,GBR,2003,55.814,19,3:56.467,+7.049,14,0:47.789,6,1:50.670,9,2:43.044,9,3:20.558,9,00:47.789000,6.0,01:02.881000,15.0,00:52.374000,22.0,00:37.514000,35.0,00:35.909000,11
12,,33,MAPLES Dylan *,COMMENCAL/MUC-OFF BY RIDING,10114296696,USA,2003,57.143,4,3:56.486,+7.068,13,0:49.325,26,1:51.753,14,2:43.358,11,3:20.645,11,00:49.325000,26.0,01:02.428000,11.0,00:51.605000,11.0,00:37.287000,26.0,00:35.841000,10
13,p,25,HART Danny,CONTINENTAL GT RACING,10005470073,GBR,1991,55.836,18,3:57.100,+7.682,12,0:47.820,7,1:50.575,8,2:42.931,8,3:20.753,14,00:47.820000,7.0,01:02.755000,13.0,00:52.356000,21.0,00:37.822000,44.0,00:36.347000,20
14,,41,PONTVIANNE Nathan *,GOODMAN SANTACRUZ,10057982944,FRA,2005,55.513,28,3:57.123,+7.705,11,0:49.393,29,1:52.995,25,2:44.804,18,3:22.033,21,00:49.393000,29.0,01:03.602000,24.0,00:51.809000,14.0,00:37.229000,23.0,00:35.090000,3
15,,44,MEIER-SMITH Luke *,GIANT FACTORY OFF-ROAD TEAM - DH,10049212326,AUS,2002,56.075,15,3:57.274,+7.856,10,0:48.782,15,1:51.556,13,2:44.043,14,3:21.473,16,00:48.782000,15.0,01:02.774000,14.0,00:52.487000,25.0,00:37.430000,31.0,00:35.801000,9
16,,62,MEEK Toby *,MEEKBOYZ RACING,10064077170,NZL,2004,56.228,11,3:57.354,+7.936,9,0:48.216,10,1:51.786,15,2:43.661,13,3:20.702,13,00:48.216000,10.0,01:03.570000,22.0,00:51.875000,16.0,00:37.041000,14.0,00:36.652000,32
17,,32,HATTON Charlie,CONTINENTAL ATHERTON,10009897014,GBR,1998,56.140,12,3:57.879,+8.461,8,0:49.441,30,1:53.415,28,2:44.958,21,3:21.267,15,00:49.441000,30.0,01:03.974000,32.0,00:51.543000,10.0,00:36.309000,9.0,00:36.612000,30
18,p,28,DAPRELA Thibaut,N/A,10072798480,FRA,2001,55.879,17,3:58.414,+8.996,7,0:48.999,18,1:52.362,19,2:44.602,17,3:21.707,18,00:48.999000,18.0,01:03.363000,20.0,00:52.240000,19.0,00:37.105000,18.0,00:36.707000,35
19,,56,VIEIRA Douglas,N/A,10010126679,BRA,1998,55.130,37,3:58.546,+9.128,6,0:48.575,12,1:52.522,20,2:44.993,22,3:22.193,22,00:48.575000,12.0,01:03.947000,31.0,00:52.471000,24.0,00:37.200000,21.0,00:36.353000,21
20,,30,WALKER Matt,MADISON SARACEN FACTORY TEAM,10011016756,GBR,1999,55.598,25,3:58.676,+9.258,5,0:48.593,13,1:51.927,16,2:45.360,24,3:21.963,20,00:48.593000,13.0,01:03.334000,19.0,00:53.433000,53.0,00:36.603000,11.0,00:36.713000,36
21,,70,WILLIAMSON Matthew Luke *,TRIPLE FIVE RACING,10061878809,GBR,2002,55.300,34,3:58.853,+9.435,-,0:48.852,16,1:51.237,11,2:44.290,15,3:21.559,17,00:48.852000,16.0,01:02.385000,9.0,00:53.053000,40.0,00:37.269000,25.0,00:37.294000,52
22,,91,INTROZZI Stefano,N/A,10032121027,ITA,2000,56.031,16,3:59.136,+9.718,-,0:49.215,22,1:52.815,23,2:44.485,16,3:21.926,19,00:49.215000,22.0,01:03.600000,23.0,00:51.670000,12.0,00:37.441000,32.0,00:37.210000,48
23,p,27,THIRION Rémi,GIANT FACTORY OFF-ROAD TEAM - DH,10005415715,FRA,1990,54.095,66,3:59.249,+9.831,-,0:50.450,60,1:52.814,22,2:45.425,25,3:22.780,25,00:50.450000,59.0,01:02.364000,8.0,00:52.611000,28.0,00:37.355000,27.0,00:36.469000,25
24,p,22,WILLIAMSON Greg,MADISON SARACEN FACTORY TEAM,10006909111,GBR,1992,53.711,81,3:59.453,+10.035,-,0:49.513,32,1:53.934,34,2:46.132,30,3:23.176,27,00:49.513000,32.0,01:04.421000,35.0,00:52.198000,17.0,00:37.044000,15.0,00:36.277000,19
25,,35,JEWETT Jakob *,PIVOT FACTORY RACING,10061612663,CAN,2003,52.023,111,3:59.529,+10.111,-,0:49.993,45,1:53.744,32,2:45.954,29,3:23.108,26,00:49.993000,45.0,01:03.751000,26.0,00:52.210000,18.0,00:37.154000,19.0,00:36.421000,24
26,p,21,O CALLAGHAN Oisin *,YT MOB,10017486353,IRL,2003,55.556,27,3:59.535,+10.117,-,0:49.691,35,1:53.969,35,2:46.498,32,3:23.587,30,00:49.691000,35.0,01:04.278000,33.0,00:52.529000,27.0,00:37.089000,17.0,00:35.948000,12
27,P,5,KOLB Andreas,CONTINENTAL ATHERTON,10009187092,AUT,1996,55.046,40,3:59.560,+10.142,-,0:48.723,14,1:50.343,7,2:44.857,19,3:22.228,23,00:48.723000,14.0,01:01.620000,5.0,00:54.514000,71.0,00:37.371000,28.0,00:37.332000,55
28,,61,WALLACE Mark,WE ARE ONE MOMENTUM PROJECT,10008172636,CAN,1995,52.709,102,3:59.882,+10.464,-,0:49.140,21,1:52.804,21,2:45.617,27,3:22.573,24,00:49.140000,21.0,01:03.664000,25.0,00:52.813000,32.0,00:36.956000,13.0,00:37.309000,53
29,,58,ESTAQUE Thomas,COMMENCAL ICSTUDIO,10008848505,FRA,1996,55.004,41,4:00.055,+10.637,-,0:49.350,27,1:53.876,33,2:45.579,26,3:23.494,29,00:49.350000,27.0,01:04.526000,38.0,00:51.703000,13.0,00:37.915000,48.0,00:36.561000,28
