rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
1,,20,PIERRON Amaury,COMMENCAL/MUC-OFF BY RIDING,10008827283,FRA,1996,59.875,1,3:44.312,+0.000,100,0:46.294,1,00:46.294000,1:45.544,2,00:59.250000,2:34.042,2,00:48.498000,3:08.938,1,00:34.896000,1,2,2,2,00:35.374000,9
2,P,4,ILES Finn,SPECIALIZED GRAVITY,10090907774,CAN,1999,56.118,25,3:45.313,+1.001,80,0:46.342,2,00:46.342000,1:45.357,1,00:59.015000,2:33.099,1,00:47.742000,3:10.160,2,00:37.061000,2,1,1,37,00:35.153000,3
3,P,8,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,57.669,7,3:45.659,+1.347,70,0:46.962,4,00:46.962000,1:46.654,3,00:59.692000,2:36.233,3,00:49.579000,3:10.827,3,00:34.594000,4,3,5,1,00:34.832000,1
4,P,3,VERGIER Loris,TREK FACTORY RACING GRAVITY,10008723112,FRA,1996,59.333,2,3:49.919,+5.607,65,0:47.111,7,00:47.111000,1:47.863,5,01:00.752000,2:38.750,5,00:50.887000,3:14.633,4,00:35.883000,7,6,19,9,00:35.286000,5
5,P,5,KOLB Andreas,CONTINENTAL ATHERTON,10009187092,AUT,1996,57.715,6,3:50.856,+6.544,60,0:47.623,13,00:47.623000,1:48.769,9,01:01.146000,2:39.706,8,00:50.937000,3:15.191,6,00:35.485000,13,9,21,3,00:35.665000,13
6,,21,O CALLAGHAN Oisin *,YT MOB,10017486353,IRL,2003,56.228,22,3:51.270,+6.958,58,0:47.695,16,00:47.695000,1:49.282,13,01:01.587000,2:40.254,11,00:50.972000,3:15.977,8,00:35.723000,16,13,22,7,00:35.293000,6
7,,27,THIRION Rémi,GIANT FACTORY OFF-ROAD TEAM - DH,10005415715,FRA,1990,55.684,31,3:51.926,+7.614,56,0:47.774,17,00:47.774000,1:48.630,6,01:00.856000,2:39.287,6,00:50.657000,3:15.971,7,00:36.684000,17,7,14,27,00:35.955000,16
8,P,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,58.920,3,3:52.134,+7.822,54,0:48.566,26,00:48.566000,1:50.342,17,01:01.776000,2:41.376,19,00:51.034000,3:16.895,14,00:35.519000,26,14,23,5,00:35.239000,4
9,,48,BREEDEN Joe,INTENSE FACTORY RACING,10011005743,GBR,1999,55.879,29,3:52.260,+7.948,52,0:47.569,12,00:47.569000,1:48.700,8,01:01.131000,2:38.706,4,00:50.006000,3:14.956,5,00:36.250000,12,8,8,15,00:37.304000,45
10,,51,CHAPELET Simon *,CUBE FACTORY RACING,10071553749,FRA,2002,56.009,27,3:52.479,+8.167,50,0:47.519,11,00:47.519000,1:48.932,10,01:01.413000,2:40.327,12,00:51.395000,3:16.328,11,00:36.001000,11,10,26,11,00:36.151000,20
