Number,Name,Run,Speed,Splits,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Sector_Times,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Speed_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
20,PIERRON Amaury,1,54.156,"['0:50.988', '6:27.142', '15:57.193', '19:09.134']",0:50.988,6:27.142,15:57.193,19:09.134,,50.988,387.142,957.193,1149.134,,"[50.988, 336.154, 570.0509999999999, 191.94100000000003, None]",50.988,336.154,570.0509999999999,191.94100000000003,,63,232,253,258,155,63,284,286,342,155,64,,,,,155,155,155,155
20,PIERRON Amaury,2,55.109,"['0:49.477', '1:51.453', '2:42.890', '3:56.876', '3:56.876', '3:56.876', '3:56.876', '3:56.876']",0:49.477,1:51.453,2:42.890,3:56.876,3:56.876,49.477,111.453,162.89,236.876,236.876,"[49.477, 61.976000000000006, 51.43699999999998, 73.98600000000002, 0.0, 0.0, 0.0, 0.0]",49.477,61.976000000000006,51.43699999999998,73.98600000000002,0.0,10,3,1,1,3,10,2,3,20,74,27,187.399,125.423,73.98600000000002,0.0,13,37,81,74
20,PIERRON Amaury,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,404,404,403,393,155,404,404,403,393,155,404,,,,,155,155,155,155
3,VERGIER Loris,1,54.135,"['0:54.426', '4:04.699', '8:59.811', '10:13.775']",0:54.426,4:04.699,8:59.811,10:13.775,,54.426,244.699,539.811,613.775,,"[54.426, 190.27300000000002, 295.112, 73.96399999999994, None]",54.426,190.27300000000002,295.112,73.96399999999994,,203,170,132,119,155,203,221,188,19,155,66,,,,,155,155,155,155
3,VERGIER Loris,2,55.922,"['0:49.417', '1:52.793', '2:47.282', '4:01.533']",0:49.417,1:52.793,2:47.282,4:01.533,,49.417,112.793,167.28199999999998,241.533,,"[49.417, 63.376000000000005, 54.488999999999976, 74.251, None]",49.417,63.376000000000005,54.488999999999976,74.251,,9,5,2,2,155,9,8,9,22,155,8,,,,,155,155,155,155
3,VERGIER Loris,3,56.228,"['0:49.711', '3:24.877', '8:01.258', '9:14.929', '4:01.533', '4:01.533', '4:01.533', '4:01.533']",0:49.711,3:24.877,8:01.258,9:14.929,4:01.533,49.711,204.877,481.258,554.929,241.533,"[49.711, 155.166, 276.381, 73.67099999999999, -313.39599999999996, 0.0, 0.0, 0.0]",49.711,155.166,276.381,73.67099999999999,-313.39599999999996,12,142,117,102,4,12,191,177,16,55,5,191.822,36.65599999999998,-239.725,-313.39599999999996,14,28,54,55
58,ESTAQUE Thomas,1,53.552,"['2:10.493', '7:23.916', '21:20.783', '22:37.561']",2:10.493,7:23.916,21:20.783,22:37.561,,130.493,443.916,1280.783,1357.561,,"[130.493, 313.423, 836.867, 76.77800000000002, None]",130.493,313.423,836.867,76.77800000000002,,305,265,333,318,155,305,274,346,46,155,102,,,,,155,155,155,155
58,ESTAQUE Thomas,2,54.463,"['0:49.901', '1:53.849', '2:48.722', '4:04.228']",0:49.901,1:53.849,2:48.722,4:04.228,,49.901,113.84899999999999,168.722,244.228,,"[49.901, 63.947999999999986, 54.87300000000002, 75.506, None]",49.901,63.947999999999986,54.87300000000002,75.506,,19,8,3,3,155,19,10,13,29,155,48,,,,,155,155,155,155
58,ESTAQUE Thomas,3,55.004,"['0:50.590', '8:22.146', '16:17.720', '18:35.858', '4:04.228', '4:04.228', '4:04.228', '4:04.228']",0:50.590,8:22.146,16:17.720,18:35.858,4:04.228,50.59,502.146,977.72,1115.858,244.228,"[50.59, 451.55600000000004, 475.574, 138.13799999999992, -871.6299999999999, 0.0, 0.0, 0.0]",50.59,451.55600000000004,475.574,138.13799999999992,-871.6299999999999,38,283,259,245,5,38,325,253,288,20,30,193.638,-257.918,-733.492,-871.6299999999999,15,15,23,20
27,THIRION Rémi,1,52.883,"['0:51.222', '3:00.709', '5:31.970', '7:35.555']",0:51.222,3:00.709,5:31.970,7:35.555,,51.222,180.709,331.97,455.555,,"[51.222, 129.487, 151.26100000000002, 123.58499999999998, None]",51.222,129.487,151.26100000000002,123.58499999999998,,74,126,81,81,155,74,159,119,269,155,158,,,,,155,155,155,155
27,THIRION Rémi,2,53.973,"['0:50.089', '1:53.079', '9:37.634', '11:12.226']",0:50.089,1:53.079,9:37.634,11:12.226,,50.089,113.07900000000001,577.634,672.226,,"[50.089, 62.99000000000001, 464.555, 94.59199999999998, None]",50.089,62.99000000000001,464.555,94.59199999999998,,23,6,145,139,155,23,5,251,233,155,75,,,,,155,155,155,155
27,THIRION Rémi,3,53.294,"['0:50.603', '6:35.314', '20:56.660', '22:10.683', '4:04.545', '4:04.545', '4:04.545', '4:04.545']",0:50.603,6:35.314,20:56.660,22:10.683,4:04.545,50.603,395.314,1256.66,1330.683,244.545,"[50.603, 344.711, 861.346, 74.02299999999991, -1086.138, 0.0, 0.0, 0.0]",50.603,344.711,861.346,74.02299999999991,-1086.138,39,234,327,310,6,39,285,349,21,12,122,193.94199999999998,-150.76900000000003,-1012.1150000000001,-1086.138,16,20,9,12
48,BREEDEN Joe,1,52.061,"['0:51.798', '1:59.875', '2:56.909', '4:16.977']",0:51.798,1:59.875,2:56.909,4:16.977,,51.798,119.875,176.909,256.977,,"[51.798, 68.077, 57.03399999999999, 80.06799999999998, None]",51.798,68.077,57.03399999999999,80.06799999999998,,101,45,27,28,155,101,53,30,129,155,228,,,,,155,155,155,155
48,BREEDEN Joe,2,53.591,"['0:50.989', '1:55.347', '2:49.394', '4:06.898', '4:06.898', '4:06.898', '4:06.898', '4:06.898']",0:50.989,1:55.347,2:49.394,4:06.898,4:06.898,50.989,115.34700000000001,169.394,246.898,246.898,"[50.989, 64.358, 54.047, 77.50399999999999, 0.0, 0.0, 0.0, 0.0]",50.989,64.358,54.047,77.50399999999999,0.0,64,16,4,4,7,64,12,8,58,74,99,195.909,131.551,77.50399999999999,0.0,17,38,92,74
48,BREEDEN Joe,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,404,404,403,393,155,404,404,403,393,155,404,,,,,155,155,155,155
25,HART Danny,1,52.632,"['0:51.576', '1:56.221', '2:52.753', '4:12.050']",0:51.576,1:56.221,2:52.753,4:12.050,,51.576,116.221,172.753,252.05,,"[51.576, 64.64500000000001, 56.53199999999998, 79.29700000000003, None]",51.576,64.64500000000001,56.53199999999998,79.29700000000003,,91,20,11,13,155,91,14,27,108,155,178,,,,,155,155,155,155
25,HART Danny,2,52.345,"['0:49.782', '1:54.884', '2:54.340', '4:12.583']",0:49.782,1:54.884,2:54.340,4:12.583,,49.782,114.884,174.34,252.583,,"[49.782, 65.102, 59.456, 78.243, None]",49.782,65.102,59.456,78.243,,15,12,17,15,155,15,17,54,74,155,203,,,,,155,155,155,155
25,HART Danny,3,53.235,"['0:50.284', '1:53.417', '2:51.020', '4:07.033', '4:07.033', '4:07.033', '4:07.033', '4:07.033']",0:50.284,1:53.417,2:51.020,4:07.033,4:07.033,50.284,113.417,171.02,247.033,247.033,"[50.284, 63.133, 57.60300000000001, 76.01299999999998, 0.0, 0.0, 0.0, 0.0]",50.284,63.133,57.60300000000001,76.01299999999998,0.0,29,7,5,5,8,29,6,38,32,74,128,196.749,133.61599999999999,76.01299999999998,0.0,18,44,84,74
33,MAPLES Dylan *,1,51.986,"['3:23.812', '13:38.276', '19:16.604', '22:26.955']",3:23.812,13:38.276,19:16.604,22:26.955,,203.812,818.276,1156.604,1346.955,,"[203.812, 614.4639999999999, 338.3280000000001, 190.35099999999989, None]",203.812,614.4639999999999,338.3280000000001,190.35099999999989,,323,360,306,314,155,323,359,205,340,155,236,,,,,155,155,155,155
33,MAPLES Dylan *,2,52.25,"['0:51.526', '1:58.589', '2:52.464', '4:08.704']",0:51.526,1:58.589,2:52.464,4:08.704,,51.526,118.589,172.464,248.704,,"[51.526, 67.06299999999999, 53.875, 76.24000000000001, None]",51.526,67.06299999999999,53.875,76.24000000000001,,87,35,8,6,155,87,35,6,36,155,217,,,,,155,155,155,155
33,MAPLES Dylan *,3,39.495,"['8:40.736', '15:00.972', '16:07.168', '20:12.229', '4:08.704', '4:08.704', '4:08.704', '4:08.704']",8:40.736,15:00.972,16:07.168,20:12.229,4:08.704,520.736,900.972,967.168,1212.229,248.704,"[520.736, 380.236, 66.19600000000003, 245.06100000000004, -963.5250000000001, 0.0, 0.0, 0.0]",520.736,380.236,66.19600000000003,245.06100000000004,-963.5250000000001,389,371,256,274,9,389,302,66,356,15,387,-272.032,-652.268,-718.4639999999999,-963.5250000000001,4,5,25,15
57,PIERRON Antoine,1,52.345,"['0:52.111', '9:37.356', '19:04.575', '20:23.137']",0:52.111,9:37.356,19:04.575,20:23.137,,52.111,577.356,1144.575,1223.137,,"[52.111, 525.245, 567.219, 78.5619999999999, None]",52.111,525.245,567.219,78.5619999999999,,110,298,299,279,155,110,333,285,84,155,203,,,,,155,155,155,155
57,PIERRON Antoine,2,53.235,"['0:51.634', '1:58.994', '2:54.531', '4:12.584']",0:51.634,1:58.994,2:54.531,4:12.584,,51.634,118.994,174.531,252.584,,"[51.634, 67.36, 55.537000000000006, 78.053, None]",51.634,67.36,55.537000000000006,78.053,,93,39,18,16,155,93,38,16,71,155,128,,,,,155,155,155,155
57,PIERRON Antoine,3,53.472,"['0:50.960', '1:56.265', '2:52.567', '4:09.777', '4:09.777', '4:09.777', '4:09.777', '4:09.777']",0:50.960,1:56.265,2:52.567,4:09.777,4:09.777,50.96,116.265,172.567,249.777,249.777,"[50.96, 65.305, 56.30200000000001, 77.20999999999998, 0.0, 0.0, 0.0, 0.0]",50.96,65.305,56.30200000000001,77.20999999999998,0.0,61,21,9,7,10,61,20,22,53,74,110,198.81699999999998,133.512,77.20999999999998,0.0,20,43,90,74
56,VIEIRA Douglas,1,52.402,"['0:50.928', '2:16.074', '8:08.679', '10:06.349']",0:50.928,2:16.074,8:08.679,10:06.349,,50.928,136.074,488.679,606.349,,"[50.928, 85.14600000000002, 352.60499999999996, 117.67000000000007, None]",50.928,85.14600000000002,352.60499999999996,117.67000000000007,,58,96,121,117,155,58,115,212,262,155,197,,,,,155,155,155,155
56,VIEIRA Douglas,2,53.912,"['0:50.953', '1:56.751', '2:52.426', '4:09.867']",0:50.953,1:56.751,2:52.426,4:09.867,,50.953,116.751,172.426,249.867,,"[50.953, 65.798, 55.67499999999998, 77.441, None]",50.953,65.798,55.67499999999998,77.441,,59,25,7,8,155,59,24,18,56,155,80,,,,,155,155,155,155
56,VIEIRA Douglas,3,54.504,"['0:51.309', '8:02.187', '16:04.912', '18:52.849', '4:09.867', '4:09.867', '4:09.867', '4:09.867']",0:51.309,8:02.187,16:04.912,18:52.849,4:09.867,51.309,482.187,964.912,1132.849,249.867,"[51.309, 430.87800000000004, 482.725, 167.9369999999999, -882.982, 0.0, 0.0, 0.0]",51.309,430.87800000000004,482.725,167.9369999999999,-882.982,77,280,255,252,11,77,321,256,326,19,47,198.558,-232.32000000000002,-715.0450000000001,-882.982,19,18,26,19
